Reference,DOI,
"Dehnert, G. K., Karasov, W. H. & Wolman, M. A. 2,4-Dichlorophenoxyacetic acid containing herbicide impairs essential visually guided behaviors of larval fish. Aquatic Toxicology 209, 1–12 (2019).",http://dx.doi.org/10.1016/j.aquatox.2019.01.015,
"Demetrio, P. M., Bonetto, C. & Ronco, A. E. The Effect of Cypermethrin, Chlorpyrifos, and Glyphosate Active Ingredients and Formulations on Daphnia magna (Straus). Bull Environ Contam Toxicol 93, 268–273 (2014).",http://dx.doi.org/10.1007/s00128-014-1336-0,
"Demetrio, P. M., Bulus Rossini, G. D., Bonetto, C. A. & Ronco, A. E. Effects of Pesticide Formulations and Active Ingredients on the Coelenterate Hydra attenuata (Pallas, 1766). Bull Environ Contam Toxicol 88, 15–19 (2012).",http://dx.doi.org/10.1007/s00128-011-0463-0,
"Demir, E. et al. Hazard Assessment of the Effects of Acute and Chronic Exposure to Permethrin, Copper Hydroxide, Acephate, and Validamycin Nanopesticides on the Physiology of Drosophila: Novel Insights into the Cellular Internalization and Biological Effects. IJMS 23, 9121 (2022).",http://dx.doi.org/10.3390/ijms23169121,
"Devi, A. P., Rato, D. M. R., Tilak, K. S. & Murty, A. S. Relative toxicity of the technical grade material, isomers, and formulations of endosulfan to the fishChanna punctata. Bull. Environ. Contam. Toxicol. 27–27, 239–243 (1981).",http://dx.doi.org/10.1007/BF01611015,
"Dinamarca, V. M., Hidalgo, M. E. & Cavieres, M. F. Lack of effects of 2,4-dichlorophenoxyacetic acid administration on markers of oxidative stress during early pregnancy in mice. Toxicology 237, 104–110 (2007).",http://dx.doi.org/10.1016/j.tox.2007.05.002,
"Druart, C., Scheifler, R. & De Vaufleury, A. Towards the development of an embryotoxicity bioassay with terrestrial snails: Screening approach for cadmium and pesticides. Journal of Hazardous Materials 184, 26–33 (2010).",http://dx.doi.org/10.1016/j.jhazmat.2010.07.099,
"Fassiano, A. V., March, H., Santos, M., Juárez, Á. B. & Ríos De Molina, M. D. C. Toxicological effects of active and inert ingredients of imazethapyr formulation Verosil® against Scenedesmus vacuolatus (Chlorophyta). Environ Sci Pollut Res 29, 31384–31399 (2022).",http://dx.doi.org/10.1007/s11356-021-17962-w,
"Folmar, L. C., Sanders, H. O. & Julin, A. M. Toxicity of the herbicide glyphosate and several of its formulations to fish and aquatic invertebrates. Arch. Environ. Contam. Toxicol. 8, 269–278 (1979).",http://dx.doi.org/10.1007/BF01056243,
"García-Ortega, S., Holliman, P. J. & Jones, D. L. Effects of salinity, DOM and metals on the fate and microbial toxicology of propetamphos formulations in river and estuarine sediment. Chemosphere 83, 1117–1123 (2011).",http://dx.doi.org/10.1016/j.chemosphere.2011.01.030,
"García-Ortega, S., Holliman, P. J. & Jones, D. L. Toxicology and fate of Pestanal® and commercial propetamphos formulations in river and estuarine sediment. Science of The Total Environment 366, 826–836 (2006).",http://dx.doi.org/10.1016/j.scitotenv.2005.08.008,
"Gomes, S. I. L. et al. On the safety of nanoformulations to non-target soil invertebrates – an atrazine case study. Environ. Sci.: Nano 6, 1950–1958 (2019).",http://dx.doi.org/10.1039/c9en00242a,
"Güngördü, A. & Uçkun, M. Comparative assessment of in vitro and in vivo toxicity of azinphos methyl and its commercial formulation: In Vitro and In Vivo Toxicity of Azinphos Methyl and Gusathion. Environ. Toxicol. 30, 1091–1101 (2015).",http://dx.doi.org/10.1002/tox.21982,
"Hill, E. F. & Camardese, M. B. Toxicity of anticholinesterase insecticides to birds: Technical grade versus granular formulations. Ecotoxicology and Environmental Safety 8, 551–563 (1984).",http://dx.doi.org/10.1016/0147-6513(84)90015-0,
"Holdway, D. A. et al. Toxicity of pulse-exposed fenvalerate and esfenvalerate to larval Australian crimson-spotted rainbow fish (Melanotaenia fluviatilis). Aquatic Toxicology 28, 169–187 (1994).",http://dx.doi.org/10.1016/0166-445X(94)90032-9,
"Howe, C. M. et al. TOXICITY OF GLYPHOSATE-BASED PESTICIDES TO FOUR NORTH AMERICAN FROG SPECIES. Environ Toxicol Chem 23, 1928 (2004).",http://dx.doi.org/10.1897/03-71,
"Jarvinen, A. W. & Tanner, D. K. Toxicity of selected controlled release and corresponding unformulated technical grade pesticides to the fathead minnow Pimephales promelas. Environmental Pollution Series A, Ecological and Biological 27, 179–195 (1982).",http://dx.doi.org/10.1016/0143-1471(82)90024-1,
"Joly, P., Bonnemoy, F., Charvy, J.-C., Bohatier, J. & Mallet, C. Toxicity assessment of the maize herbicides S-metolachlor, benoxacor, mesotrione and nicosulfuron, and their corresponding commercial formulations, alone and in mixtures, using the Microtox® test. Chemosphere 93, 2444–2450 (2013).",http://dx.doi.org/10.1016/j.chemosphere.2013.08.074,
"Key, P., Delorenzo, M., Gross, K., Chung, K. & Clum, A. Toxicity of the Mosquito Control Pesticide Scourge® to Adult and Larval Grass Shrimp ( Palaemonetes pugio ). Journal of Environmental Science and Health, Part B 40, 585–594 (2005).",http://dx.doi.org/10.1081/PFC-200061552,
"Kitulagodage, M., Astheimer, L. B. & Buttemer, W. A. Diacetone alcohol, a dispersant solvent, contributes to acute toxicity of a fipronil-based insecticide in a passerine bird. Ecotoxicology and Environmental Safety 71, 597–600 (2008).",http://dx.doi.org/10.1016/j.ecoenv.2007.11.001,
"Kovačević, M., Stjepanović, N., Hackenberger, D. K., Lončarić, Ž. & Hackenberger, B. K. Toxicity of fungicide azoxystrobin to Enchytraeus albidus: Differences between the active ingredient and formulated product. Pesticide Biochemistry and Physiology 187, 105198 (2022).",http://dx.doi.org/10.1016/j.pestbp.2022.105198,
"Lackmann, C. et al. Subcellular Responses and Avoidance Behavior in Earthworm Eisenia andrei Exposed to Pesticides in the Artificial Soil. Agriculture 13, 271 (2023).",http://dx.doi.org/10.3390/agriculture13020271,
"Lackmann, C. et al. Commercial preparations of pesticides exert higher toxicity and cause changes at subcellular level in earthworm Eisenia andrei. Environ Sci Eur 33, 12 (2021).",http://dx.doi.org/10.1186/s12302-021-00455-5,
"Lanasa, S. et al. Comparative Toxicity of Herbicide Active Ingredients, Safener Additives, and Commercial Formulations to the Nontarget Alga Raphidocelis Subcapitata. Enviro Toxic and Chemistry 41, 1466–1476 (2022).",http://dx.doi.org/10.1002/etc.5327,
"Lima E Silva, C., Rooij, W., Verweij, R. A. & Gestel, C. A. M. Toxicity in Neonicotinoids to Folsomia candida and Eisenia andrei. Enviro Toxic and Chemistry 39, 548–555 (2020).",http://dx.doi.org/10.1002/etc.4634,
"Majumder, R. & Kaviraj, A. Acute and sublethal effects of organophosphate insecticide chlorpyrifos on freshwater fish Oreochromis niloticus. Drug and Chemical Toxicology 42, 487–495 (2019).",http://dx.doi.org/10.1080/01480545.2018.1425425,
"Majumder, R. & Kaviraj, A. Cypermethrin induced stress and changes in growth of freshwater fish Oreochromis niloticus. Int Aquat Res 9, 117–128 (2017).",http://dx.doi.org/10.1007/s40071-017-0161-6,
"Mann, R. M. & Bidwell, J. R. The Toxicity of Glyphosate and Several Glyphosate Formulations to Four Species of Southwestern Australian Frogs. Archives of Environmental Contamination and Toxicology 36, 193–199 (1999).",http://dx.doi.org/10.1007/s002449900460,
"Mansano, A. S. et al. Acute and chronic toxicity of diuron and carbofuran to the neotropical cladoceran Ceriodaphnia silvestrii. Environ Sci Pollut Res 25, 13335–13346 (2018).",http://dx.doi.org/10.1007/s11356-016-8274-9,
"Mansano, A. S. et al. Effects of diuron and carbofuran and their mixtures on the microalgae Raphidocelis subcapitata. Ecotoxicology and Environmental Safety 142, 312–321 (2017).",http://dx.doi.org/10.1016/j.ecoenv.2017.04.024,
"Mansano, A. S. et al. Effects of diuron and carbofuran pesticides in their pure and commercial forms on Paramecium caudatum: The use of protozoan in ecotoxicology. Environmental Pollution 213, 160–172 (2016).",http://dx.doi.org/10.1016/j.envpol.2015.11.054,
"Mansano, A. S. et al. Individual and mixture toxicity of carbofuran and diuron to the protozoan Paramecium caudatum and the cladoceran Ceriodaphnia silvestrii. Ecotoxicology and Environmental Safety 201, 110829 (2020).",http://dx.doi.org/10.1016/j.ecoenv.2020.110829,
"Metcalfe, T. L., Dillon, P. J. & Metcalfe, C. D. Effects of formulations of the fungicide, pentachloronitrobenzene on early life stage development of the Japanese medaka (Oryzias latipes). Chemosphere 71, 1957–1962 (2008).",http://dx.doi.org/10.1016/j.chemosphere.2007.12.018,
"Moore, L. J. et al. Relative toxicity of the components of the original formulation of Roundup® to five North American anurans. Ecotoxicology and Environmental Safety 78, 128–133 (2012).",http://dx.doi.org/10.1016/j.ecoenv.2011.11.025,
"Moreira, R. A., Da Silva Mansano, A. & Rocha, O. The toxicity of carbofuran to the freshwater rotifer, Philodina roseola. Ecotoxicology 24, 604–615 (2015).",http://dx.doi.org/10.1007/s10646-014-1408-2,
"Morgan, M. J. & Kiceniuk, J. W. Effect of fenitrothion on the foraging behavior of juvenile atlantic salmon. Environ Toxicol Chem 9, 489–495 (1990).",http://dx.doi.org/10.1002/etc.5620090412,
"Neves, M. et al. Biochemical and populational responses of an aquatic bioindicator species, Daphnia longispina, to a commercial formulation of a herbicide (Primextra® Gold TZ) and its active ingredient (S-metolachlor). Ecological Indicators 53, 220–230 (2015).",http://dx.doi.org/10.1016/j.ecolind.2015.01.031,
"Osterberg, J. S., Darnell, K. M., Blickley, T. M., Romano, J. A. & Rittschof, D. Acute toxicity and sub-lethal effects of common pesticides in post-larval and juvenile blue crabs, Callinectes sapidus. Journal of Experimental Marine Biology and Ecology 424–425, 5–14 (2012).",http://dx.doi.org/10.1016/j.jembe.2012.05.004,
"Pereira, J. L. et al. Toxicity evaluation of three pesticides on non-target aquatic and soil organisms: commercial formulation versus active ingredient. Ecotoxicology 18, 455–463 (2009).",http://dx.doi.org/10.1007/s10646-009-0300-y,
"Pereira, J. L., Mendes, C. D. & Gonçalves, F. ACUTE AND CHRONIC EFFECTS OF A MIXTURE OF FORMULATED PESTICIDES AND ITS. Fresenius Environmental Bulletin 18, (2009).",NA,
"Queirós, L., Vidal, T., Nogueira, A. J. A., Gonçalves, F. J. M. & Pereira, J. L. Ecotoxicological assessment of the herbicide Winner Top and its active substances—are the other formulants truly inert? Ecotoxicology 27, 945–955 (2018).",http://dx.doi.org/10.1007/s10646-018-1939-z,
"Rao, D. M., Murty, A. S. & Swarup, P. A. Relative Toxicity of Technical Grade and Formulated Carbaryl and 1-Naphthol to, and Carbaryi-Induced Biochemical Changes in, the Fish Cirrhinus mrigala.",http://dx.doi.org/10.1016/0143-1471(84)90088-6,
"Robertson, E. B. & Bunting, D. L. The acute toxicity of four herbicides to 0–4 hour nauplii ofCyclops Vernalis fisher (copepoda, cyclopoida). Bull. Environ. Contam. Toxicol. 16, 682–688 (1976).",http://dx.doi.org/10.1007/BF01685573,
"Rocha, O. et al. Sensitivities of three tropical indigenous freshwater invertebrates to single and mixture exposures of diuron and carbofuran and their commercial formulations. Ecotoxicology 27, 834–844 (2018).",http://dx.doi.org/10.1007/s10646-018-1921-9,
"Sáenz, M. E., Marzio, W. D. D., Alberdi, J. L. & Tortorelli, M. D. C. Effects of Technical Grade and a Commercial Formulation of Glyphosate on Algal Population Growth. Bulletin of Environmental Contamination and Toxicology 59, 638–644 (1997).",http://dx.doi.org/10.1007/s001289900527,
"Sakshaug, J. Acute, Oral Toxicity to Laboratory Animals of Fenthion (O-O-Dimethyl-O-(3-Methyl-4-Methyl-Mercapto-Phenyl)-Thiophosphate) in Different Formulations. Acta Vet Scand 6, 112–117 (1965).",http://dx.doi.org/10.1186/BF03547071,
"Sanders, H., Finley, M., Hunn, J. Acute Toxicity of Six Forest Insecticides to Three Aquatic Invertebrates and Four Fishes. Technical Papers OF THE U.S. FISH AND WILDLIFE SERVICE 110 (1983).",NA,
"Sayim, F. Acute Toxic Effects of Malathion on the 21^st Stage Larvae of the Marsh Frog.",NA,
"Schleier, J. J. & Peterson, R. K. D. Toxicity and risk of permethrin and naled to non-target insects after adult mosquito management. Ecotoxicology 19, 1140–1146 (2010).",http://dx.doi.org/10.1007/s10646-010-0497-9,
"Schuytema, G. S., Nebeker, A. V. & Griffis, W. L. Toxicity of Guthion� and Guthion� 2S to Xenopus laevis embryos. Arch. Environ. Contam. Toxicol. 27, (1994).",NA,
"Sihtmäe, M. et al. Ecotoxicological effects of different glyphosate formulations. Applied Soil Ecology 72, 215–224 (2013).",http://dx.doi.org/10.1016/j.apsoil.2013.07.005,
"Simões, T. et al. Fate and effects of two pesticide formulations in the invertebrate Folsomia candida using a natural agricultural soil. Science of The Total Environment 675, 90–97 (2019).",http://dx.doi.org/10.1016/j.scitotenv.2019.04.191,
"Skelley, J. R. Toxicity of 2- sec -butyl-4,6-dinitrophenol (dinoseb) and monosodium methanearsonate (msma), individually and in a mixture, to channel catfish ( Ictalurus punctatus ) and fathead minnows ( pimephales promelas ). Environ Toxicol Chem 8, 623–628 (1989).",http://dx.doi.org/10.1002/etc.5620080709,
"Slattery, M., Harper, B. & Harper, S. Pesticide Encapsulation at the Nanoscale Drives Changes to the Hydrophobic Partitioning and Toxicity of an Active Ingredient. Nanomaterials 9, 81 (2019).",http://dx.doi.org/10.3390/nano9010081,
"Sobrero, M. C., Rimoldi, F. & Ronco, A. E. Effects of the Glyphosate Active Ingredient and a Formulation on Lemna gibba L. at Different Exposure Levels and Assessment End-Points. Bull Environ Contam Toxicol 79, 537–543 (2007).",http://dx.doi.org/10.1007/s00128-007-9277-5,
"Stark, J. D., Qiao, M. & Banks, J. E. Toxicity of Chlorantraniliprole and it’s Formulated Product, Altacor®, to Individuals and Populations of Ceriodaphnia Dubia Richard. Bull Environ Contam Toxicol 109, 996–1000 (2022).",http://dx.doi.org/10.1007/s00128-022-03614-3,
"Stevanović, M. et al. Effects of the technical ingredient clomazone and its two formulated products on aquatic macrophytes. Environmental Pollution 277, 116753 (2021).",http://dx.doi.org/10.1016/j.envpol.2021.116753,
"Stevanovic, M. et al. Toxicity of clomazone and its formulations to zebrafish embryos (Danio rerio). Aquatic Toxicology 188, 54–63 (2017).",http://dx.doi.org/10.1016/j.aquatox.2017.04.007,
"Tilak, K. S., Veeraiah, K., Thathaji, P. B. & Butchiram, M. S. Toxicity studies of butachlor to the freshwater fish Channa punctata (Bloch). (2007).",NA,
"Tišler, T., Jemec, A., Mozetič, B. & Trebše, P. Hazard identification of imidacloprid to aquatic environment. Chemosphere 76, 907–914 (2009).",http://dx.doi.org/10.1016/j.chemosphere.2009.05.002,
"Tóth, G. et al. Cytotoxicity and hormonal activity of glyphosate-based herbicides. Environmental Pollution 265, 115027 (2020).",http://dx.doi.org/10.1016/j.envpol.2020.115027,
"Tripathi, G. & Shukla, S. P. Toxicity bioassay of technical and commercial formulations of carbaryl to the freshwater catfish, Clarias batrachus. Ecotoxicology and Environmental Safety 15, 277–281 (1988).",http://dx.doi.org/10.1016/0147-6513(88)90082-6,
"Trumbo, J. & Waligora, D. the impact of the herbicides imazapyr and triclopyr Triethylamine on bullfrog TADPOLES. CALIFORNIA FISH AND GAME.",NA,
"Tsui, M. T. K. & Chu, L. M. Aquatic toxicity of glyphosate-based formulations: comparison between different organisms and the effects of environmental factors. Chemosphere 52, 1189–1197 (2003).",http://dx.doi.org/10.1016/S0045-6535(03)00306-0,
"Turhan, D. Ö., Güngördü, A. & Ozmen, M. Developmental and lethal effects of glyphosate and a glyphosate-based product on Xenopus laevis embryos and tadpoles. Bull Environ Contam Toxicol 104, 173–179 (2020).",http://dx.doi.org/10.1007/s00128-019-02774-z,
"Vallim, J. H. et al. Chitosan nanoparticles containing the insecticide dimethoate: A new approach in the reduction of harmful ecotoxicological effects. NanoImpact 27, 100408 (2022).",http://dx.doi.org/10.1016/j.impact.2022.100408,
"Van De Merwe, J. P., Neale, P. A., Melvin, S. D. & Leusch, F. D. L. In vitro bioassays reveal that additives are significant contributors to the toxicity of commercial household pesticides. Aquatic Toxicology 199, 263–268 (2018).",http://dx.doi.org/10.1016/j.aquatox.2018.03.033,
"Wagner, N., Lötters, S., Veith, M. & Viertel, B. Acute Toxic Effects of the Herbicide Formulation and the Active Ingredient Used in Cycloxydim-Tolerant Maize Cultivation on Embryos and Larvae of the African Clawed Frog, Xenopus laevis. Bull Environ Contam Toxicol 94, 412–418 (2015).",http://dx.doi.org/10.1007/s00128-015-1474-z,
"Weir, S. M., Yu, S. & Salice, C. J. Acute toxicity of herbicide formulations and chronic toxicity of technical-grade trifluralin to larval green frogs (Lithobates clamitans). Environmental Toxicology and Chemistry 31, 2029–2034 (2012).",http://dx.doi.org/10.1002/etc.1910,
"Williamson, E. G., Long, S. F., Kallman, M. J. & Wilson, M. C. A comparative analysis of the acute toxicity of technical-grade pyrethroid insecticides and their commercial formulations. Ecotoxicology and Environmental Safety 18, 27–34 (1989).",http://dx.doi.org/10.1016/0147-6513(89)90089-4,
