DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,COMMON_CONTROL,MULTIPLE_MEASUREMENT,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
11,wos1286,glyphosate-IPA,8.3,EC50,2.9,1.3,CI_95,3,7,7-10 juveniles per vessel,Roundup Ultramax,5.9,EC50,1.9,2.6,CI_95,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_c,wos1286_2,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,48,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,168 (post transformation),YES,164,NO,soluble concentrate,YES,n/a,2007,for juvenile acute testing - roundup vs gly-ipa was suitable as age of juveniles was the same. This was not the case for gly-ipa vs aqua star so these were excluded. 
12,wos1286,glyphosate-IPA,7.2,EC50,1.7,2.4,CI_95,3,7,7-10 juveniles per vessel,Roundup Ultramax,5.9,EC50,1.9,2.6,CI_95,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_d,wos1286_2,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,96,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,168 (post transformation),YES,164,NO,soluble concentrate,YES,n/a,2007,for juvenile acute testing - roundup vs gly-ipa was suitable as age of juveniles was the same. This was not the case for gly-ipa vs aqua star so these were excluded. 
13,wos1286,glyphosate-IPA,5.9,EC50,1.9,2.7,CI_95,3,50,50-100 per vessel,Aqua Star,>148,EC50,n/a,n/a,n/a,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_a,wos1286_3,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,24,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,n/a,YES,164,YES,soluble concentrate,YES,n/a,2007,n/a
14,wos1286,glyphosate-IPA,5,EC50,1.7,2.6,CI_95,3,50,50-100 per vessel,Aqua Star,>148,EC50,n/a,n/a,n/a,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_b,wos1286_3,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,48,herbicide,NO,n/a,environmental,acute,21.45,8.49,n/a,n/a,YES,164,YES,soluble concentrate,YES,n/a,2007,n/a
15,wos1286,glyphosate-IPA,7.6,EC50,3.8,7.7,CI_95,3,7,7-10 juveniles per vessel,Aqua Star,>148,EC50,n/a,n/a,n/a,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_e,wos1286_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,168,herbicide,NO,n/a,environmental,chronic,21.45,8.49,fed,720 (post transformation),YES,164,YES,soluble concentrate,YES,n/a,2007,roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.
16,wos1286,glyphosate-IPA,6.9,EC50,4.3,11.6,CI_95,3,7,7-10 juveniles per vessel,Aqua Star,>148,EC50,n/a,n/a,n/a,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_f,wos1286_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,336,herbicide,NO,n/a,environmental,chronic,21.45,8.49,fed,720 (post transformation),YES,164,YES,soluble concentrate,YES,n/a,2007,roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.
17,wos1286,glyphosate-IPA,5.4,EC50,1.9,2.9,CI_95,3,7,7-10 juveniles per vessel,Aqua Star,57.3,EC50,20,30.7,CI_95,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_g,wos1286_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,504,herbicide,NO,n/a,environmental,chronic,21.45,8.49,fed,720 (post transformation),YES,164,NO,soluble concentrate,YES,n/a,2007,roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.
18,wos1286,glyphosate-IPA,4.8,EC50,1.8,2.8,CI_95,3,7,7-10 juveniles per vessel,Aqua Star,43.8,EC50,15.6,24.3,CI_95,3,7,7-10 juveniles per vessel,trimmed spearman–karber,wos1286_h,wos1286_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,672,herbicide,NO,n/a,environmental,chronic,21.45,8.49,fed,720 (post transformation),YES,164,NO,soluble concentrate,YES,n/a,2007,roundup vs gly-ipa could not be included for chronic toxicity tests as one month age difference between juveniles in each group.
19,wos927,chlorpyrifos,0.5,EC50,0.18,0.28,CI_95,3,50,50-75 per vessel,Lorsban,0.73,EC50,0.24,0.37,CI_95,3,50,50-75 per vessel,trimmed spearman–karber,wos927_a,wos927_1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,24,insecticide,NO,n/a,environmental,acute,21.2,8.58,n/a,n/a,YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,"for atrazine and permethrin experiments were also carried out but there was no effect for either substance over the concentration range carried out. The concentration range for both was less than 3 orders of magnitude and no range finding experiment is mentioned. Therefore, this lack of effect for both the ais and formulations can't be considered evidence for no difference, rather an inappropriately narrow range of concentrations tested."
20,wos927,chlorpyrifos,0.43,EC50,0.14,0.2,CI_95,3,50,50-75 per vessel,Lorsban,0.6,EC50,0.2,0.3,CI_95,3,50,50-75 per vessel,trimmed spearman–karber,wos927_b,wos927_1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,48,insecticide,NO,n/a,environmental,acute,21.2,8.58,n/a,n/a,YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,"for multiple_measurement - 24-48h were the same for each life stage, 96h juvenile acute was standalone, then 7-21d were multiple measurements."
21,wos927,chlorpyrifos,0.25,EC50,0.08,0.12,CI_95,3,7,7 juveniles per vessel,Lorsban,0.33,EC50,0.07,0.09,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_c,wos927_2,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,96,insecticide,NO,n/a,environmental,acute,21.2,8.58,n/a,1080 (post transformation),YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,n/a
22,wos927,chlorpyrifos,0.21,EC50,0.1,0.19,CI_95,3,7,7 juveniles per vessel,Lorsban,0.19,EC50,0.04,0.06,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_d,wos927_3,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,168,insecticide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,n/a
23,wos927,chlorpyrifos,0.08,EC50,0.04,0.07,CI_95,3,7,7 juveniles per vessel,Lorsban,0.05,EC50,0.02,0.06,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_e,wos927_3,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,336,insecticide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,n/a
24,wos927,chlorpyrifos,0.06,EC50,0.03,0.08,CI_95,3,7,7 juveniles per vessel,Lorsban,0.05,EC50,0.02,0.03,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_f,wos927_3,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,504,insecticide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,Emulsifiable concentrate,YES,n/a,2007,n/a
25,wos927,atrazine,17.1,EC50,8,14.9,CI_95,3,7,7 juveniles per vessel,Aatrex 4L,4.4,EC50,2.5,5.9,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_g,wos927_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,336,herbicide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,liquid formulation,YES,n/a,2007,n/a
26,wos927,atrazine,10.1,EC50,5.3,11.1,CI_95,3,7,7 juveniles per vessel,Aatrex 4L,3.1,EC50,0.9,1.3,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_h,wos927_4,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,504,herbicide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,liquid formulation,YES,n/a,2007,n/a
27,wos927,permethrin,0.11,EC50,0.05,0.1,CI_95,3,7,7 juveniles per vessel,Mosquito-B-Gone,0.05,EC50,0.03,0.04,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_i,wos927_5,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,336,insecticide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,pump spray,YES,n/a,2007,n/a
28,wos927,permethrin,0.03,EC50,0.025,0.17,CI_95,3,7,7 juveniles per vessel,Mosquito-B-Gone,0.03,EC50,0.01,0.01,CI_95,3,7,7 juveniles per vessel,trimmed spearman–karber,wos927_j,wos927_5,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,juvenile,504,insecticide,NO,n/a,environmental,chronic,21.2,8.58,fed,1080 (post transformation),YES,172,NO,pump spray,YES,n/a,2007,home product for patio/yard spraying
29,wos33,chlorpyrifos,90,LC50,15,17,CI_95,3,5,5 adults per vessel,Dursban 20% EC,42,LC50,12,15,CI_95,3,5,5 adults per vessel,probit,wos33_a,wos_33_1,Oreochromis niloticus,nile tilapia,Kulia fish farm,Teleostei,Chordata,Animalia,Aquatic,adult,96,insecticide,NO,n/a,environmental,acute,32,7.2,starved,n/a,YES,139.23,NO,Emulsifiable concentrate,YES,n/a,2019,home product for patio/yard spraying
30,scopus517,fenthion,560,LD50,30,40,CI_95,120,1,"120 adults only, housed separately",Baytex,415,LD50,30,30,CI_95,120,1,"120 adults only, housed separately",probit,scopus517_a,scopus517_1,Rattus rattus,rat,Veterinary College of Norway,Mammalia,Chordata,Animalia,Terrestrial,adult,48,insecticide,NO,male,gavage,acute,22,n/a,starved,n/a,NO,n/a,NO,wettable powder,YES,n/a,1965,chemically pure and technical were both available. Chemically pure was selected as the control as 100% (presumably) vs 95% for technical fenthion.
31,scopus517,fenthion,560,LD50,30,40,CI_95,120,1,"120 adults only, housed separately",Lebaycid,340,LD50,35,25,CI_95,120,1,"120 adults only, housed separately",probit,scopus517_a,scopus517_2,Rattus rattus,rat,Veterinary College of Norway,Mammalia,Chordata,Animalia,Terrestrial,adult,48,insecticide,NO,male,gavage,acute,22,n/a,starved,n/a,NO,n/a,NO,Emulsifiable concentrate,YES,n/a,1965,chemically pure and technical were both available. Chemically pure was selected as the control as 100% (presumably) vs 95% for technical fenthion.
32,wos2103,malathion,38,LC50,2.89,10.25,CI_95,3,10,10 larvae per vessel,Koruma 25% WP,29,LC50,1.38,1.82,CI_95,3,10,10 larvae per vessel,probit,wos2103_a,wos2103_1,Rana ridibunda,marsh frog,Ege University Campus,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,insecticide,NO,n/a,environmental,acute,n/a,n/a,n/a,21/22 (gosner stage),NO,n/a,NO,wettable powder,YES,n/a,2008,n/a
33,wos946,cycloxydim,>50,LC50,n/a,n/a,n/a,2,25,25 embryos per vessel,Focus Ultra,0.6,LC50,0.1,0.1,CI_95,2,25,25 embryos per vessel,probit,wos946_a,wos946_1,Xenopus laevis,african clawed frog,n/a,Amphibia,Chordata,Animalia,Aquatic,embryo,96,herbicide,NO,n/a,environmental,acute,23,6.85,n/a,8-11 (NF stage),YES,n/a,YES,Emulsifiable concentrate,YES,n/a,2015,sample size from FETAX document referenced.
34,wos946,cycloxydim,4,LC50,0.9,0.8,CI_95,3,10,10 larvae per vessel,Focus Ultra,0.1,LC50,0.03,0.01,CI_95,3,10,10 larvae per vessel,probit,wos946_b,wos946_2,Xenopus laevis,african clawed frog,n/a,Amphibia,Chordata,Animalia,Aquatic,larvae,96,herbicide,NO,n/a,environmental,acute,23,6.85,starved,47 (NF stage),YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2015,n/a
35,wos315,λ-Cyhalothrin,0.2233,LC50,0.04,0.0487,CI_95,3,5,5 megalopae per vessel,Karate® with Zeon Technology,0.526,LC50,0.175,0.263,CI_95,3,5,5 megalopae per vessel,four parameter logistic,wos315_a,wos315_1,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,megalopae,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Aqueous capsule suspensions,YES,n/a,2012,n/a
36,wos315,imidacloprid,10.04,LC50,3.659,5.75,CI_95,3,5,5 megalopae per vessel,Trimax Pro,312.7,LC50,90.3,127.2,CI_95,3,5,5 megalopae per vessel,four parameter logistic,wos315_b,wos315_2,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,megalopae,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Aqueous suspension concentrates,YES,n/a,2012,n/a
37,wos315,acephate,50380,LC50,6080,6920,CI_95,3,5,5 megalopae per vessel,Ortho Orthene® Fire Ant Killer,61210,LC50,12710,16050,CI_95,3,5,5 megalopae per vessel,four parameter logistic,wos315_c,wos315_3,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,megalopae,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Dustable powders,YES,n/a,2012,n/a
38,wos315,λ-Cyhalothrin,2.701,LC50,0.486,0.593,CI_95,24,1,"24 individuals, one per well",Karate® with Zeon Technology,3.565,LC50,1.844,3.82,CI_95,24,1,"24 individuals, one per well",four parameter logistic,wos315_d,wos315_4,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,juvenile,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Aqueous capsule suspensions,YES,n/a,2012,n/a
39,wos315,imidacloprid,1112,LC50,270.1,356,CI_95,24,1,"24 individuals, one per well",Trimax Pro,816.7,LC50,123.8,145.9,CI_95,24,1,"24 individuals, one per well",four parameter logistic,wos315_e,wos315_5,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,juvenile,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Aqueous suspension concentrates,YES,n/a,2012,n/a
40,wos315,acephate,137300,LC50,4500,4600,CI_95,24,1,"24 individuals, one per well",Ortho Orthene® Fire Ant Killer,191300,LC50,50200,67700,CI_95,24,1,"24 individuals, one per well",four parameter logistic,wos315_f,wos315_6,Callinectes sapidus,blue crab,"Pivers Island Bridge,Beaufort,North Carolina, USA",Malacostraca,Arthropoda,Animalia,Aquatic,juvenile,24,insecticide,NO,n/a,environmental,acute,25,n/a,n/a,n/a,NO,n/a,NO,Dustable powders,YES,n/a,2012,n/a
41,wos2030,trifluralin,9.76,LC50,0.843,0.843,SE,5,4,4 larvae per vessel,Treflan 4D,2.81,LC50,0.028,0.028,SE,5,4,4 larvae per vessel,logistic/log-logit models,wos2030_a,wos2030_1,Lithobates clamitans,green frog,Charles D. Sullivan,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,herbicide,NO,n/a,environmental,acute,25,n/a,starved,25 (gosner stage),NO,60,NO,Emulsifiable concentrate,YES,n/a,2012,n/a
42,scopus307,triallate,2.6,EC50,0.6,0.78,CI_95,2,5,"10 larvae only, one vessel",Fargo,1.8,EC50,0.52,0.72,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_a,scopus307_1,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,24,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,Emulsifiable concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
43,scopus307,triallate,2.3,EC50,0.51,0.65,CI_95,2,5,"10 larvae only, one vessel",Fargo,1.23,EC50,0.28,0.35,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_b,scopus307_1,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,48,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,Emulsifiable concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
44,scopus307,propachlor,5.2,EC50,0.89,1.07,CI_95,2,5,"10 larvae only, one vessel",Ramrod,6.3,EC50,1.07,1.29,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_c,scopus307_2,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,24,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,suspension concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
45,scopus307,propachlor,1.8,EC50,0.5,0.7,CI_95,2,5,"10 larvae only, one vessel",Ramrod,2.2,EC50,0.53,0.7,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_d,scopus307_2,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,48,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,suspension concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
46,scopus307,alachlor,27.5,EC50,6.9,9.1,CI_95,2,5,"10 larvae only, one vessel",Lasso,13.1,EC50,2.8,3.5,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_e,scopus307_3,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,24,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,Emulsifiable concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
47,scopus307,alachlor,10,EC50,2.6,3.4,CI_95,2,5,"10 larvae only, one vessel",Lasso,12.5,EC50,2.8,3.6,CI_95,2,5,"10 larvae only, one vessel",litchfield-wilcoxon,scopus307_f,scopus307_3,Chironomus riparius,harlequin fly,Yankton Field Research Station,Insecta,Arthropoda,Animalia,Aquatic/Terrestrial,larvae,48,herbicide,NO,n/a,environmental,acute,22,7.735,n/a,4th instar,YES,43,NO,Emulsifiable concentrate,YES,n/a,1989,immobilisation used as endpoint for acute toxicity studies rather than mortality.
