STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
11,Cecylia,YES,"Uriostegui-Acosta, M; Hernandez-Ochoa, I; Solis-Heredia, MD; Martinez-Aguilar, G; Quintanilla-Vega, B",Comparative Effect of Technical and Commercial Formulations of Methamidophos on Sperm Quality and DNA Integrity in Mice,ENVIRONMENTAL TOXICOLOGY,"Methamidophos (MET), widely used in developing countries, is a highly neurotoxic organophosphate pesticide that has been associated with male reproductive alterations. Commercial formulations of pesticides used by agricultural workers and urban sprayers are responsible for thousands of intoxications in developing countries and may not have the same effects as active pure ingredients. Therefore, we compared effects of MET technical (METt) and commercial (METc) grades on sperm quality and DNA integrity. Male mice were injected (intraperitoneal, i.p.) with METt or METc (3.75, 5, and 7 mg/kg bw/day/4 days) and sacrificed 24 h post-treatment. Sperm cells collected from epididymis-vas deferens were evaluated for quality parameters, DNA damage by the comet assay, and lipoperoxidation by malondialdehyde (MDA) production. Erythrocyte acetylcholinesterase (AChE) activity was evaluated by acetylthiocho-line inhibition as an index of overall toxicity. A dose-dependent AChE inhibition was observed with both formulations. Sperm quality was decreased after treatment with both MET compounds, but the commercial formulation showed stronger effects; a similar profile was observed with the DNA damage, being METc more genotoxic. None MET formulation increased MDA, suggesting no peroxidative damage involved. In summary, the commercial formulation of MET was more reprotoxic and genotoxic than the active pure ingredient, highlighting that commercial formulations must be considered for more appropriate risk assessment of pesticide exposures. (C) 2012 Wiley Periodicals, Inc.",2014,29,942,949,http://dx.doi.org/10.1002/tox.21822
12,Cecylia,NO,"CALAMAI, L; PANTANI, OL; RAVELLI, A; FUSI, P",CHLORSULFURON EXTRACTION AND PURIFICATION FROM A COMMERCIAL FORMULATION (GLEAN 75DF),FRESENIUS ENVIRONMENTAL BULLETIN,"Two methods for isolation of a sulfonylurea herbicide from a formulation were developed. They are based on the different solubility of a.i. (active ingredient) in: a) water at different pHs and b) in Water/Dichloromethane system. The purity of the extracts was checked by melting point and HPLC analyses against two certified standards. On melting, Chlorsulfuron degrades. Strategy b) yields the purest product (about 102%) with a recovery rate of 75%, while a) is superior for recovery rate (about 85%) but poorer in purity (about 90%).",1995,4,25,30,NA
13,Cecylia,YES,"Martinez, A; Reyes, I; Reyes, N",Cytotoxicity of the herbicide glyphosate in human peripheral blood mononuclear cells,BIOMEDICA,"Introduction. Glyphosate is a broad-spectrum, non-selective herbicide and commonly used to eliminate weeds in agricultural and forest settings. Studies evaluating glyphosate toxicity in animals and environment show that commercial formulations of glyphosate are more toxic than the active component itself. Objectives. Technical grade glyphosate was compared with the commercial formulation Roundup(R) in their respective toxicities on human peripheral blood mononuclear cells. Materials and methods. Human peripheral blood mononuclear cells were exposed to different concentrations of glyphosate, either technical grade or in the form of Roundup for 24 h, 48 h, 72 h, and 96 h. Cytotoxicity was assayed by trypan blue dye exclusion method and reduction of (2,3-bis[2-methoxy-4-nitro-5-sulfophenyl]-2Htetrazolium-5-carboxyanilide inner salt) XTT reagent. Results. Both technical grade glyphosate and Roundup(R) formulation were toxic to human peripheral blood mononuclear cells. Cytotoxicity of Roundup(R) was higher than cytotoxicity of glyphosate, since the LC50 (50% lethal concentration) determined by the trypan blue exclusion method at 24 h was the equivalent of 56.4 mu g/ml of glyphosate in the form of Roundup(R) and 1,640 mu g/ml (1.64 mg/ml) for technical grade glyphosate. Conclusions. This in vitro study confirmed the toxic effects on human cells by glyphosate and its commercial preparations. Commercial formulations were more cytotoxic than the active component alone, supporting the concept that additives in commercial formulations play a role in the toxicity attributed to glyphosate-based herbicides.",2007,27,594,604,http://dx.doi.org/10.7705/biomedica.v27i4.176
14,Cecylia,NO,"Gattas, F; Espinosa, M; Babay, P; Pizarro, H; Cataldo, D",Invasive species versus pollutants: Potential of Limnoperna fortunei to degrade glyphosate-based commercial formulations,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"The intensive use of glyphosate in industrial agriculture may lead to freshwater contamination, encouraging studies of its toxic effect on non-target aquatic organisms. Glyphosate-based commercial formulations contain adjuvants, making them even more toxic than the active ingredient (a.i.) itself. The golden mussel Limnoperna fortunei is a freshwater invasive species which has been found to increase glyphosate dissipation in water and to accelerate eutrophication. The aim of this study is to evaluate the capability of L. fortunei to reduce the concentration of glyphosate in two commercial formulations, Roundup Max (R) and Glifosato Atanor (R). Results were compared with the decay of the a.i. alone and in presence of mussels. Evasive response and toxicity tests were performed in a first set of trials to analyze the response of L. fortunei exposed to Roundup Max (R) and Glifosato Atanor (R). Subsequently, we conducted a 21-day degradation experiment in 2.6-L microcosms applying the following treatments: 6 mg L-1 of technical-grade glyphosate (G), Glifosato Atanor (R) (A), Roundup Max (R) (R), 20 mussels in dechlorinated tap water (M), and the combination of mussels and herbicide either in the technical-grade (MG) or formulated form (MA and MR) (all by triplicate). Samples were collected at days 0, 1, 7, 14 and 21. No significant differences in glyphosate decay were found between treatments with mussels (MG: 2.03 +/- 0.40 mg L-1; MA: 1.60 +/- 0.32 mg L-1; MR: 1.81 +/- 0.21 mg L-1), between glyphosate as a.i. and the commercial formulations, and between the commercial formulations, suggesting that the adjuvants did not affect the degrading potential of L. fortunei. In addition to the acceleration of glyphosate dissipation in water, there was an increase in the concentration of dissolved nutrients in water (N-NH4+ and P-PO43-) even higher than that caused by the filtering activity of the mussels, probably resulting from stress or from the degradation of glyphosate and adjuvants. We believe that a larger bioavailability of these nutrients due to glyphosate metabolization mediated by mussels would accelerate eutrophication processes in natural water bodies. The approach used here, where L. fortunei was exposed to two commercial formulations actually used in agricultural practices, sheds light on the potential impact of glyphosate decay on water bodies invaded by this species.",2020,201,NA,NA,http://dx.doi.org/10.1016/j.ecoenv.2020.110794
15,Cecylia,maybe,"Chaufan, G; Coalova, I; de Molina, MDR","Glyphosate Commercial Formulation Causes Cytotoxicity, Oxidative Effects, and Apoptosis on Human Cells: Differences With its Active Ingredient",INTERNATIONAL JOURNAL OF TOXICOLOGY,NA,2014,33,29,38,http://dx.doi.org/10.1177/1091581813517906
16,Cecylia,NO,"Brand, RM; Mueller, C","Transdermal penetration of atrazine, alachlor, and trifluralin: Effect of formulation",TOXICOLOGICAL SCIENCES,"Commercial formulations of herbicides contain surfactants and other compounds to increase absorption by targeted plants. These chemicals, however, are also potential penetration enhancers for mammalian skin, The effect of formulation on dermal absorption of the herbicides atrazine, alachlor, and trifluralin and their commercial formulations Aatrex, Lasso, and Treflan was determined. In vitro absorption studies were performed by placing hairless mouse skin in a Bronough flow-through diffusion system. Donor solution was spiked with C-14-labeled herbicide, and its penetration through the skin was monitored in 90-min fractions. Results demonstrate that dermal penetration of commercially formulated compound was significantly greater (p < 0.05) than that of the pure compound at the same concentration. The physical properties of a herbicide predicted penetration (r(2) = 0.97-0.99) for commercial formulations but were not as effective at predicting absorption for the pure compounds (r(2) = 0.51-0.71). The solvents associated with the hydrophobic herbicide Treflan altered dermal penetration of the more hydrophilic herbicides Lasso and Aatrex. Furthermore, although the most hydrophobic compound had the least penetration, it accumulated in the stratum corneum at the greatest rate. These studies can have important implications on future experiments performed to predict percutaneous penetration of herbicides.",2002,68,18,23,http://dx.doi.org/10.1093/toxsci/68.1.18
17,Cecylia,YES,"Queiros, L; Vidal, T; Nogueira, AJA; Goncalves, FJM; Pereira, JL",Ecotoxicological assessment of the herbicide Winner Top and its active substances-are the other formulants truly inert?,ECOTOXICOLOGY,"Formulants used in Plant Protection Products (PPPs) to promote their efficiency are normally undisclosed in the PPP documentation, unless they bear a human health or environmental hazardous potential per se. PPP regulation also demands the assessment of putative interactions among formulants within each product recipe and consequent effects, but these results are often unavailable. Such a case is that of the herbicide Winner Top (Selectis (R), Portugal), which we selected as a model commercial formulation in the present study specifically aiming at (i) characterising its aquatic toxicity towards sensitive eco-receptors (Raphidocelis subcapitata, Chlorella vulgaris, Lemna minor and Lemna gibba), as well as that of its active substances (a.s.) nicosulfuron and terbuthylazine; (ii) comparing the ecotoxicity among the commercial formulation, the corresponding mixture of its a.s. and this a.s.'s mixture increasingly enriched with the formulants. Single chemical testing revealed that terbuthylazine was the strongest microalgae growth inhibitor and nicosulfuron was the strongest macrophyte growth inhibitor. On the other hand, the commercial formulation was consistently less toxic than the corresponding mixture of the a.s., suggesting that Winner Top formulants (72.9% of the commercial formulation) interact with the a.s., promoting less than additive effects in the selected non-target species. Importantly, this environmentally protective effect of the formulation can be apparent. Because macrophytes share most physiological features with the weeds targeted by the studied herbicide, it is likely that increased application doses are required to reach desired efficacy levels with the consequent detrimental increase of PPP residues load in edge-of-field freshwater ecosystems.",2018,27,945,955,http://dx.doi.org/10.1007/s10646-018-1939-z
18,Cecylia,YES,"ScassellatiSforzolini, G; Pasquini, R; Moretti, M; Villarini, M; Fatigoni, C; Dolara, P; Monarca, S; Caderni, G; Kuchenmeister, F; Schmezer, P; PoolZobel, BL",In vivo studies on genotoxicity of pure and commercial linuron,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,"The ureic herbicide linuron [3-(3,4-dichlorophenyl)-l-methoxy-1-methylurea] (CAS 330-55-2) was investigated for genotoxicity in a series of in vivo experiments. Since human exposure to herbicides is not only to the active principles, but also to all the chemicals present in the commercial formulation, we tested both pure and commercial linuron. Groups of rats were treated with gavage containing different doses of the herbicide (pure compound or commercial formulation) for 14 days. The doses were 150, 300 and 450 mg/kg b.wt. for the pure compound and 315.8, 631.6 and 947.4 mg/kg b.wt. for the commercial formulation (47.5% of linuron). Faeces and urine were collected at regular intervals. Urine specimens were analysed for their mutagenic metabolites, thioethers and D-glucaric acid content. Faeces extracts were tested for mutagenicity. Linuron's ability to cause DNA damage and cytogenetic effects was also investigated after treating groups of rats once with different doses of pure or commercial linuron. DNA single-strand breaks were assessed in rat liver using the alkaline elution technique and the single-cell microgel electrophoresis assay (SCGE:'comet' assay), and in rat testes cells with the SCGE assay. Micronuclei induction was analysed in rat bone marrow erythrocytes. Results obtained were mainly negative when the excretion of mutagenic metabolites in urine and faeces of animals treated with the pure compound or with the linuron-based commercial formulation were monitored, whereas an increase in the urinary excretion of thioethers and D-glucaric acid was observed in rats treated with the commercial formulation. No increase in the frequency of micronucleated polychromatic erythrocytes was observed in the treated animals. However, linuron affected the viability of hepatocytes isolated from animals treated with higher doses. This cytotoxicity was accompanied by the induction of DNA single-strand breaks in the liver, as seen by the alkaline elution assay. The potential of pure linuron to induce in vivo DNA damage was confirmed with the microgel electrophoresis technique ('comet' assay). Cytotoxicity was also seen in rat testes cells. However, no indication of DNA damage was visible.",1997,390,207,221,http://dx.doi.org/10.1016/S1383-5718(97)00012-0
19,Cecylia,NO,"Tadei, R; Menezes-Oliveira, VB; Silva-Zacarin, ECM",Silent effect of the fungicide pyraclostrobin on the larval exposure of the non-target organism Africanized Apis mellifera and its interaction with the pathogen Nosema ceranae in adulthood,ENVIRONMENTAL POLLUTION,"The frequent exposure of bees to a wide variety of fungicides, on crops where they forage, can be considered a stressor factor for these pollinators. The organisms are exposed both to the fungicide active ingredients and to the adjuvants of commercial formulations. All these ingredients are brought to the hive by bee foragers through contaminated pollen and nectar, thus exposing also immature individuals during larval phase. This work aimed to compare the effects of larval exposure to the fungicide pyraclostrobin (active ingredient and commercial formulation) and its influence on the cytotoxicity to midguts in adults, which were inoculated with the Nosema ceranae spores in the post-emergence stage. Under laboratory conditions, Apis mellifera larvae received an artificial diet containing fungicide solution from the third to the sixth day of the feeding phase. One-day-old adult workers ingested 100,000 infectious N. ceranae spores mixed in sucrose solution. Effects on midgut were evaluated through cellular biomarkers of stress and cell death. The exposure to the fungicide (active ingredient and commercial formulation) did not affect the larval post-embryonic development and survival of adult bees. However, this exposure induced cytotoxicity in the cells of the midgut, showed by the increase in DNA fragmentation and alteration in the HSP70 immunolabeling pattern. Without the pathogen, the midgut cytotoxic effects and HSP70 immunolabeling of the organisms exposed to the commercial formulation were lower when compared to the exposure to its active ingredient. However, in the presence of the pathogen, the cytotoxic effects of the commercial formulation to the adult bees' midgut were potentialized. The pathogen N. ceranae increased the damage to the intestinal epithelium of adult bees. Thus, realistic doses of pyraclostrobin present in beebread consumed by larvae can affect the health and induce physiological implications to the midgut functions of the adult bees. (c) 2020 Elsevier Ltd. All rights reserved.",2020,267,NA,NA,http://dx.doi.org/10.1016/j.envpol.2020.115622
20,Cecylia,YES,"Moretti, M; Villarini, M; ScassellatiSforzolini, G; Pasquini, R; Monarca, S",Applicability of aspecific noninvasive methods for biomonitoring of occupational exposure to deltamethrin: Preliminary study using an animal model,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,"Deltamethrin (CAS registry No. 52918-63-5), a synthetic dibromo-pyrethroid insecticide is highly effective against a broad spectrum of insects, and is widely used on crops and in public health programs. Data on the genotoxicity and carcinogenicity of deltamethrin are rather controversial, depending on the genetic system or the assay used. The aim of the present study was to analyze previously demonstrated metabolic changes using aspecific noninvasive methods in rats which art: potentially applicable for monitoring occupational exposure. Since human exposure to pesticides occurs not only to active principles but to ail chemicals present in a commercial formulation, we tested both the pure compound and a deltamethrin-based commercial formulation. Groups of rats were treated, i.p., consecutively for 7 days. The daily doses tested were 5 and 10 mg/kg body weight for pure deltamethrin, corresponding to volumes of 178.57 and 377.14 mu l/kg body weight for the commercial formulation (containing 2.8% deltamethrin). Urine was analyzed for mutagenic metabolites, thioethers, and D-glucaric acid content. Faeces extracts were tested for mutagenicity. Results show that DGA urinary excretion values did not mirror the phase I enzyme induction capability of the insecticide. Results obtained for urinary thioethers do not agree completely with those obtained on the influence of deltamethrin on glutathione S-transferase activity in rat liver. In fact, after administration of the deltamethrin commercial formulation, highest thioether excretion values were obtained during the treatment time for treated animals, as compared to controls. The mean values (+/-SEM) of thioether excretion were 0.033 +/- 0.002 mu mole -SH/24 h for control animals, 0.122 +/- 0.004 and 0.185 +/- 0.025 for the two treatment groups. Thence, thioether determination in urine samples seems to be a suitable aspecific noninvasive method for assessing exposure to deltamethrin-based formulations, particularly those containing xylene and mesitylene as solvents, as in the tested formulation. Negative or toxic results obtained in the urinary and faecal mutagenicity test seem to exclude the formation and excretion of mutagenic metabolites following treatment with deltamethrin.",1997,33,323,328,http://dx.doi.org/10.1007/s002449900260
21,Cecylia,NO,"Pose-Juan, E; Rial-Otero, R; Paradelo, M; Lopez-Periago, JE","Influence of the adjuvants in a commercial formulation of the fungicide Switch on the adsorption of their active ingredients: Cyprodinil and fludioxonil, on soils devoted to vineyard",JOURNAL OF HAZARDOUS MATERIALS,"The objective of this work was to assess the effect of adjuvants in the sorption in soils of the fungicides, cyprodinil and fludioxonil, usually applied together in a mixture commonly called 'Switch'. Water suspensions of a commercial formulation of Switch were used in phase partition experiments for a set of selected soils from vineyards. A clean-up procedure of the supernatant was developed for the phase separation in presence of the adjuvants prior to quantification of cyprodinil and fludioxonil. The maximum sorption on the solid phase (which includes soil and other solids from the commercial formulation of Switch) was 2000 mg kg(-1) for fludioxonil and 3000 mg kg(-1) for cyprodinil after incubation with 800 mg L(-1) of Switch. However, adsorption to soil particles were lower; fludioxonil concentrations adsorbed in soils range from 50 to 80 mg kg(-1) of soil and cyprodinil concentrations range from 120 to 260 mg kg(-1) of soil. Adjuvants increased the solubility of fludioxonil in pure water at 25 degrees C up to 5 times that of the pure substance (from 1.8 to 9 mg L(-1) in control samples), and show a strong influence on the adsorption in soil. Soil pH, effective cation exchange capacity and copper content due to past anti fungal copper-based sprays, have also influence on the adsorption of the active ingredients in presence of adjuvants. (C) 2011 Elsevier B.V. All rights reserved.",2011,193,288,295,http://dx.doi.org/10.1016/j.jhazmat.2011.07.074
22,Cecylia,NO,"Rohrbacher, A; Ezell, MJ; Perraud, V; Finlayson-Pitts, BJ","Probing Matrix Effects on the Heterogeneous Photochemistry of Neonicotinoid Pesticides, Dinotefuran and Nitenpyram",ACS EARTH AND SPACE CHEMISTRY,"The environmental fate of neonicotinoids (NNs) is a key regulatory issue due to their widespread distribution, mobility, and role in honeybee colony collapse disorder. Here, we explore the potential matrix effects of the commercial formulations on the photochemistry of two NNs, dinotefuran (DNF) and nitenpyram (NPM). The commercial formulations and the pure reagents, both embedded in KBr pellets, were irradiated at wavelengths from 254 to 350 nm. Loss of the NN and product formation were followed using Fourier transform infrared spectroscopy and direct analysis in real time mass spectrometry. Quantum yields for loss of NN in commercial formulations were within experimental error of the pure NN. However, quantum yields for loss in KBr were consistently smaller than those previously measured for thin films of pure compounds, suggesting increased quenching of excited intermediates in the dense solid KBr matrix. At 350 nm where NPM absorbs, the quantum yield for loss in the formulation was about half that of the pure compound, which was attributed to a reduction in the NPM absorption cross section due to the presence of water taken up by additional formulation ingredients. Major products of DNF and NPM photolysis were the same in the formulation and in the pure compound. However, in contrast to previous thin film measurements, unexpected infrared peaks at 2222 and 2136 cm(-1) during photolysis of DNF in KBr were identified as N2O trapped in the KBr matrix and NO+ respectively. Overall, the presence of other compounds in the formulations did not significantly alter the photochemistry compared to the pure compounds.",2021,5,1196,1209,http://dx.doi.org/10.1021/acsearthspacechem.1c00059
