"","STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","ABSTRACT","YEAR","VOLUME","LPAGES","UPAGES","DOI","MORTALITY_SURVIVAL_ORGANISM_VIABILITY","LD50_WITH_CI_AVAILABLE","DATA_REQUEST_REQUIRED","OTHER_ENDPOINTS_STUDIED","COMMENTS"
"108","wos1565","Guy","YES","Closson, KR; Paul, EA","comparison of the toxicity of two chelated copper algaecides and copper sulfate to non target fish","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","New pesticide products are reviewed by the United States Environmental Protection Agency for possible effects to non-target aquatic organisms. The required toxicity data are for the active ingredient only, and fail to include toxicity of the mixture of other ingredients found in these pesticides. These ingredients may increase the toxicity of the active ingredient to non-target organisms. Our study compares the toxicity of two formulations of chelated copper algaecides with each other, and to a copper sulfate algaecide. We were particularly interested in the effects of a surfactant that is present in one of the formulations. We found that copper becomes less toxic to fish (e. g. fathead minnow 48-h LC50 = 0.90 mg/L) when it is chelated, providing an additional margin of safety to non-target fish compared to copper sulfate. However, inclusion of a surfactant to the formulation resulted in increased toxicity (e. g. fathead minnow 48-h LC50 = 0.30 mg/L).",2014,"93","660","665","http://dx.doi.org/10.1007/s00128-014-1394-3","YES","YES","NO","n/a","n/a"
"109","scopus59","Guy","YES","Majumder R.; Kaviraj A.","cypermethrin induced stress and changes in growth of freshwater fish oreochromis niloticus","International Aquatic Research","Bioassays were conducted with technical grade and commercial formulation of cypermethrin using freshwater fish Oreochromis niloticus as the test fish. The technical grade cypermethrin contained 92% active ingredient (a.i.) and the commercial formulation was an emulsified concentrate (EC) containing 10% a.i. (10% EC). Based on the actual concentration in water (2 h), the commercial formulation was found to be more acutely toxic to O. niloticus (96-h LC50 = 4.85 μg/L) than the technical grade cypermethrin (96-h LC50 = 9.74 μg/L). Exposure to sub-lethal concentrations (1.25, 2.5 μg/L) of commercial cypermethrin for 96 h produced stress on the fish, which was evident from the reduction of hepatic glycogen, reduction in the activities of alkaline phosphatase, acetylcholinesterase and catalase in liver and elevation of plasma glucose level and activities of hepatic acid phosphatase, aspartate aminotransferase and alanine aminotransferase. Exposure to these concentrations of cypermethrin for 14–28 days produced anaemia in fish. Long-term exposure (90 days) of the fish to these concentrations reduced the growth and deposition of protein and lipid in the body of fish as compared to control.It is concluded from this study that even minute concentration (1.25 μg/L) of cypermethrin (10% EC) in water can produce stress on fish. Long term exposure to such concentration of cypermethrin may also affect growth of the fish. © 2017, The Author(s).",2017,"9","117","128","10.1007/s40071-017-0161-6","YES","YES","NO","GROWTH","n/a"
"115","wos764","Guy","YES","Toth, G; Hahn, J; Rado, J; Szalai, DA; Kriszt, B; Szoboszlay, S","cytotoxicity and hormonal activity of glyphosate based herbicides","ENVIRONMENTAL POLLUTION","Glyphosate-based herbicides (GBHs) are the most widely used pesticides for weed control. In parallel with the renewal of the active ingredient, polyethoxylated POE(15) containing GBHs were banned in the EU in 2016. Since then, co-formulants were changed and numerous GBHs are marketed with different excipients declared as inert substances. In our study, we focused to determine acute and chronic cytotoxicity (by Aliivibrio fischeri assay) and direct hormonal activity (estrogenic and androgenic effects measured by Saccharomyces cerevisiae BLYES/BLYAS strains, respectively) of glyphosate, AMPA, polyethoxylated POE(15) and 13 GBHs from which 11 formulations do not contain polyethoxylated POE(15). Among the pure substances, neither glyphosate nor AMPA had any effects, while poly-ethoxylated POE(15) exhibited pronounced toxicity and was also estrogenic but not androgenic. Regarding the acute and chronic cytotoxicity and hormonal activity of GBHs, dilution percentages calculated from EC50 values were in the most cases by one or two order of magnitude lower than the minimum recommended dilution for agricultural and household use. Relation could not be observed between the biological effects and type of glyphosate-salts; hence toxicity could be linked to the co-formulants, which are not even declared in 3 GBHs. Toxicological evaluation must focus on these substances and free accessibility of GBHs should be reconsidered. (C) 2020 The Authors. Published by Elsevier Ltd.",2020,"265",NA,NA,"http://dx.doi.org/10.1016/j.envpol.2020.115027","YES","YES","NO","ESTROGENIC/ANDROGENIC ACTIVITY","Strain of S.cerevisiae and bacterium Aliivibrio fischeri were used. Depends on if I am limiting this analysis to animals."
"121","wos112","Guy","YES","do Prado, FSR; dos Santos, DM; Oliveira, TMD; Burgarelli, JAM; Castele, JB; Vieira, EM","determination and uptake of abamectin and difenoconazole in the stingless bee melipona scutellaris latreille 1811 via oral and topic acute exposure","ENVIRONMENTAL POLLUTION","Bees are considered as important providers of ecosystem services, acting via pollination process in crops and native plants, and contributing significantly to the maintenance of biodiversity. However, the decrease of bee's population has been observed worldwide and besides other factors, this collapse is also related to the extensive use of pesticides. In this sense, studies involving the assessment of adverse effects and the uptake of pesticides by bees are of great concern. This work presents an analytical method for the determination of the insecticide abamectin and the fungicide difenoconazole in the stingless bee Melipona scutellaris exposed via oral and topic to endpoints concentrations of active ingredients (a.i.) alone and in commercial formulations and the discussion about its mortality and uptake. For this purpose, QuEChERS (Quick, Easy, Cheap, Efficient, Rugged and Safe) acetate modified method was used for extraction and pesticides were determined by LC-MS/MS. The validation parameters have included: a linear range between 0.01 and 1.00 mu g mL(-1); and LOD and LOQ of 0.038 and 0.076 mu g g(-1) for abamectin and difenoconazole, respectively. The uptake of tested pesticides via oral and topic was verified by the accumulation in adult forager bees, mainly when the commercial product was tested. Mortality was observed to be higher in oral exposure than in topic tests for both pesticides. For abamectin in a commercial formulation (a.i.) no differences were observed for oral or topic exposure. On the other hand, for difenoconazole, topic exposure had demonstrated higher accumulation in bees, according to the increase of received dose. Through the results, uptake and the possible consequences of bioaccumulated pesticides are also discussed and can contribute to the knowledge about the risks involving the exposure of bees to these compounds. (C) 2020 Published by Elsevier Ltd.",2020,"265",NA,NA,"http://dx.doi.org/10.1016/j.envpol.2020.114313","YES","NO","YES","n/a","explores mortality at previously determined LD50 concentrations based on unpublished work. Contact authors for this data."
"123","scopus378","Guy","YES","Stephenson R.R.; Choi S.Y.; Olmos-Jerez A.","determining the toxicity and hazard to fish of a rice insecticide","Crop Protection","The experiments described were carried out to establish whether the effects of the insecticide, Ripcord (active ingredient cypermethrin), on fish, would limit its use in rice. Laboratory and field experiments were carried out, and the effects of cypermethrin were compared with those of a 'standard insecticide', carbofuran, widely used for pest control in rice, and a 'positive control', chlorfenvinphos, expected to be toxic to fish in rice paddies at insecticidally effective rates. Acute toxicity tests in the laboratory with the technical materials on the fish Tilapia nilotica showed cypermethrin, with a 96 h LC50 value of 2 μg/ℓ, to be some 20 times more toxic than chlorfenvinphos, with a 96 h LC50 value of 39 μg/ℓ, and some 250 times more toxic than carbofuran with a 96 h LC50 of 480 μg/ℓ. The LC50 values obtained from laboratory tests with formulated products (cypermethrin EC, chlorfenvinphos granules and carbofuran granules) on T. nilotica and Cyprinus carpio were broadly in agreement with those obtained from the tests with the technical materials and confirmed C. carpio to have a similar susceptibility to that of T. nilotica. However, a field experiment carried out in paddy rice in Korea with commercial formulations and at commercial application rates showed that mortality of caged C. carpio was much less with cypermethrin (< 15%) than with chlorfenvinphos (97%) or carbofuran (67%). A second field experiment in Spain where cypermethrin was applied by air resulted in no mortality of caged C. carpio held in the paddy. It is concluded that the limited toxic effects of cypermethrin on fish in the field, when compared with those of chlorfenvinphos and carbofuran, make it acceptable for use in rice. The effects of cypermethrin were limited in comparison with those of chlorfenvinphos and carbofuran because only very low application rates of cypermethrin are needed to give pest control. The penetration of the liquid cypermethrin formulations into the water was also lower than that of the granular insecticides and, finally, cypermethrin was more rapidly lost from water. Together, these factors are sufficient to explain the minimal toxic effects of cypermethrin in the field when compared with chlorfenvinphos and carbofuran, despite its considerably higher acute toxicity determined in laboratory tests. © 1984.",1984,"3","151","165","10.1016/0261-2194(84)90050-4","YES","NO","YES","n/a","old paper with no CIs. Contact author."
"124","wos1023","Guy","YES","Turhan, DO; Gungordu, A; Ozmen, M","developmental and lethal effects of glyphosate and a glyphosate based product on xenopus laevis embryos and tadpoles","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","Effects of pure glyphosate and a glyphosate-based product were evaluated comparatively using two embryonic development stages of Xenopus laevis as model system. When pure glyphosate was applied in pH adjusted media, lethal or developmental effects were not observed at concentrations up to 500 mg L-1. The 96 h LC50 values for the commercial herbicide, in contrast, were 32.1 and 35.1 mg active ingredient L-1 for embryos and tadpoles, respectively. Since pure glyphosate has no effect on the selected biomarkers, it is thought that developmental toxic effects caused by glyphosate-based products are increased mainly due to formulation additives.",2020,"104","173","179","http://dx.doi.org/10.1007/s00128-019-02774-z","YES","YES","NO","GROWTH/OXIDATIVE STRESS","n/a"
"126","wos1004","Guy","YES","Kitulagodage, M; Astheimer, LB; Buttemer, WA","diacetone alcohol a dispersant solvent contributes to acute toxicity of a fipronil based insecticide in a passerine bird","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","Fipronil, a phenyl pyrazole pesticide, is aerially applied in eastern Australia to control locust outbreaks, usually as Adonis 3UL lnsecticide (R) (BASF), an ultra low (UL) volume formulation containing 0.3% active pesticide. We tested the toxicities of technical-grade fipronil, the Adonis 3UL formulation and its components in zebra finch, a native bird at risk of exposure in locust control regions. We estimated oral-dose LD50 by the Up-and-Down method. Under laboratory conditions, we identified unexpectedly high toxicities due exclusively to diacetone alcohol (DAA), a solvent making up 12.5% of the Adonis 3UL formulation. In contrast, finches were asymptomatic when exposed to 0.3% technical grade fipronil dissolved in a minimum amount of acetone. Depending upon the behaviour and persistence of DAA under field conditions, this formulation of Adonis 3UL may pose a far greater threat to the health of small birds and possibly other vertebrates than expected for fipronil alone. (C) 2007 Elsevier Inc. All rights reserved.",2008,"71","597","600","http://dx.doi.org/10.1016/j.ecoenv.2007.11.001","YES","YES","NO","n/a","n/a"
"131","wos81","Guy","YES","FORLANI, G; MANTELLI, M; BRANZONI, M; NIELSEN, E; FAVILLI, F","differential sensitivity of plant associated bacteria to sulfonylurea and imidazolinone herbicides","PLANT AND SOIL","The side effects of sulfonylurea and imidazolinone herbicides on plant-associated bacteria were investigated under pure culture conditions. Eighteen isolates, belonging to the genera Azotobacter Azospirillum, Bacillus, Enterobacter Pseudomonas and Serratia, were exposed to four active compounds at concentration ranges similar to those in field soil. The sulfonylureas chlorsulfuron and rimsulfuron inhibited the growth of one of two Azospirillum and one of four Pseudomonas strains, while the imidazolinones imazapyr and imazethapyr were effective on two out of five Bacillus isolates. Surfactants in commercial formulation significantly enhanced rimsulfuron toxicity. With the exception of one Azospirillum strain, the differential tolerance of rhizobacteria to these herbicides was related to a differential sensitivity of their target, the activity of the first enzyme in branched-chain amino acid biosynthesis, acetohydroxyacid synthase (AHAS). Greenhouse pot studies were performed to assess the occurrence of inhibitory effects on bacterial growth in field conditions. Maize seedlings were bacterized with the two strains which had shown in vitro sensitivity to sulfonylureas. Following the application to the soil of a commercial formulation of rimsulfuron at rates of 0, 0.2 and 0.5 mu mol a.i. kg(-1), significative differences in the resulting degree of bacterial root colonization were found. Moreover, upon co-inoculation with two strains, one tolerant and one sensitive to the herbicide, the presence of rimsulfuron significantly enhanced root occupancy by resistant bacteria, suggesting that shifts in the microbial community structure of crop rhizosphere could indeed result as a consequence of weed control by AHAS inhibitors.",1995,"176","243","253","http://dx.doi.org/10.1007/BF00011788","YES","NO","YES","BACTERIAL GROWTH","was looking at bacterial growth but the formulation work was not indicated. No CIs either. Contact author."
"132","scopus2979","Guy","YES","Bradbury S.P.; Coats J.R.; McKim J.M.","differential toxicity and uptake of two fenvalerate formulations in fathead minnows pimephales promelas","Environmental Toxicology and Chemistry","The influence of the commercial emulsifier on the acute toxicity and uptake of fenvalerate [(R,S)‐α‐cyano‐3‐phenoxybenzyl(R,S)‐2‐(4‐chlorophenyl)‐3‐methylbutyrate], a synthetic pyre‐throid insecticide, by fathead minnows Pimephales promelas was examined. Flow‐through acute toxicity testing with measured concentrations of technical‐grade fenvalerate and a 30% active ingredient emulsifiable concentrate (EC) of the insecticide was conducted. Steady‐state LC50 values were reached by 72 and 120 to 168 h, respectively, in tests with technical‐grade and EC formulations of this insecticide. Initially, technical‐grade fenvalerate was more toxic; the 96–h LC50s for technical‐grade fenvalerate and the EC were 0.69 and 0.99 μg/L, respectively. By 168 h, an LC50 of 0.75 μg/L was determined for the EC, indicating that the incipient lethalities of the two formulations were similar. Fenvalerate concentration factors and residue levels in fish showed no significant differences between formulations. Residue levels associated with mortality decreased slightly with increasing fenvalerate water concentrations and ranged (mean) from approximately 1,000 to 1,500 ng/g. Levels in fish that survived testing increased with increasing exposure concentrations and ranged from about 600 to 900 ng/g. Concentration factors of 187 to 1,860 were calculated, with a mean of 1,670, as determined from fish that survived testing. The time required to accumulate residues was greater with the EC and contributed to a significantly slower uptake rate. Slower fenvalerate uptake in the presence of emulsifiers seemingly resulted in the initially lower toxicity of the EC formulation. Copyright © 1985 SETAC",1985,"4","533","541","10.1002/etc.5620040413","YES","YES","NO","n/a","n/a"
"139","wos1222","Guy","YES","Saenz, ME; Di Marzio, WD","ecotoxicity of herbicide glyphosate to four chlorophyceaen freshwater algae","LIMNETICA","The increasing use of glyphosate in Argentina is directly related to the increase of areas cultivated with a glyphosate-tolerant transgenic variety of soybean. That has raised concern about the effects of this herbicide in the pampean aquatic ecosystems. Hence, the ecotoxicity of pure (active ingredient) and commercial grade (Roundup) of the herbicide glyphosate was evaluated towards four green freshwater algae: Scenedesmus acutus, Scenedesmus quadricauda, Chlorella vulgaris, and Raphidocelis subcapitata. Toxic effects of glyphosate were assessed on both short-term (photosynthetic rates, determined as oxygen production) and at long-term (growth of the populations, determined as number of cells). A stimulation of the photosynthetic rate was observed at low herbicide concentrations (hormesis). Pure grade short-term effects on the photosynthetic rates appeared at concentrations between 50 and 166 mg L-1 whereas long-term effects on growth appeared in the 1.55-4 mg L-1 range. The commercial grade resulted more toxic than the pure graded its long-term effects appeared at concentrations between 0.1-3.7 mg L-1. These concentrations are clearly below the expected environmental concentrations (EEC) for this herbicide. Recovery experiments showed that both the pure grade and the commercial grade had algistatic and not algicidal effects. Possible effects and implications at algal community level regarding competitiveness are discussed.",2009,"28","149","158",NA,"YES","YES","NO","n/a","algal population growth. Tables are mislabelled, Table 1 and 3 are contrast of interest. In Spanish."
"140","wos116","Guy","YES","Allegrini, M; Zabaloy, MC; Gomez, ED","ecotoxicological assessment of soil microbial community tolerance to glyphosate","SCIENCE OF THE TOTAL ENVIRONMENT","Glyphosate is the most used herbicide worldwide. While contrasting results have been observed related with its impact on soil microbial communities, more studies are necessary to elucidate the potential effects of the herbicide. Differences in tolerance detected by Pollution Induced Community Tolerance (PICT) approach could reflect these effects. The objective of the present study was to assess the tolerance to glyphosate (the active ingredient and a commercial formulation) of contrasting soils with (H) and without (NH) history of exposure. The hypothesis of a higher tolerance in H soils due to a sustained selection pressure on community structure was tested through the PICT approach. Results indicated that tolerance to glyphosate is not consistent with previous history of exposure to the herbicide either for the active ingredient or for a commercial formulation. Soils of H and NH sites were also characterized in order to determine to what extent they differ in their functional diversity and structure of microbial communities. Denaturant Gradient Gel Electrophoresis (DGGE) and Quantitative Real Time PCR (Q-PCR) indicated high similarity of Eubacteria profiles as well as no significant differences in abundance, respectively, between H and NH sites. Community level physiological profiling (CLPP) indicated some differences in respiration of specific sources but functional diversity was very similar as reflected by catabolic evenness (E). These results support PICT assay, which ideally requires soils with differences in their exposure to the contaminant but minor differences in other characteristics. This is, to our knowledge, the first report of PICT approach with glyphosate examining tolerance at soil microbial community level. (C) 2015 Elsevier B.V. All rights reserved.",2015,"533","60","68","http://dx.doi.org/10.1016/j.scitotenv.2015.06.096","YES","YES","NO","n/a","half- maximal inhibitory concentration of respiratory rate of microbial community, Table 2. "
"141","wos17","Guy","YES","Queiros, L; Vidal, T; Nogueira, AJA; Goncalves, FJM; Pereira, JL","ecotoxicological assessment of the herbicide winner top and its active substances are the other formulants truly inert?","ECOTOXICOLOGY","Formulants used in Plant Protection Products (PPPs) to promote their efficiency are normally undisclosed in the PPP documentation, unless they bear a human health or environmental hazardous potential per se. PPP regulation also demands the assessment of putative interactions among formulants within each product recipe and consequent effects, but these results are often unavailable. Such a case is that of the herbicide Winner Top (Selectis (R), Portugal), which we selected as a model commercial formulation in the present study specifically aiming at (i) characterising its aquatic toxicity towards sensitive eco-receptors (Raphidocelis subcapitata, Chlorella vulgaris, Lemna minor and Lemna gibba), as well as that of its active substances (a.s.) nicosulfuron and terbuthylazine; (ii) comparing the ecotoxicity among the commercial formulation, the corresponding mixture of its a.s. and this a.s.'s mixture increasingly enriched with the formulants. Single chemical testing revealed that terbuthylazine was the strongest microalgae growth inhibitor and nicosulfuron was the strongest macrophyte growth inhibitor. On the other hand, the commercial formulation was consistently less toxic than the corresponding mixture of the a.s., suggesting that Winner Top formulants (72.9% of the commercial formulation) interact with the a.s., promoting less than additive effects in the selected non-target species. Importantly, this environmentally protective effect of the formulation can be apparent. Because macrophytes share most physiological features with the weeds targeted by the studied herbicide, it is likely that increased application doses are required to reach desired efficacy levels with the consequent detrimental increase of PPP residues load in edge-of-field freshwater ecosystems.",2018,"27","945","955","http://dx.doi.org/10.1007/s10646-018-1939-z","YES","YES","NO","n/a","two ais but they make a representative ai mixture, with the same ai concs as the formulation. Usable"
"142","wos1843","Guy","YES","Sihtmae, M; Blinova, I; Kunnis-Beres, K; Kanarbik, L; Heinlaan, M; Kahru, A","ecotoxicological effects of different glyphosate formulations","APPLIED SOIL ECOLOGY","Glyphosate is an active substance of the most used herbicides worldwide. Nevertheless, questions on safety of glyphosate-based herbicides are periodically raised and recent studies indicate that glyphosate may not be as safe as assumed, mostly due to the additives/surfactants in its formulations. The aim of this study was to evaluate the effects of isopropylamine salt of glyphosate and two glyphosate-based herbicides, Roundup Max (TM) (containing surfactant polyethoxylated tallow amine, POEA) and Roundup Quick (TM) (without POEA), on non-target species. Special focus was on the evaluation of long-term effects of high concentrations (simulating accidental pollution, e.g. transportation spills) of glyphosate formulations on soil health. Laboratory ecotoxicity testing was conducted with (i) two aquatic organisms - crustaceans Daphnia magna and marine bacteria Vibrio fischeri, (ii) five bacterial strains (Escherichia coli MG1655, Pseudomonas putida KT2440 and three bacterial isolates from the soil) and (iii) terrestrial plants Raphanus sativus and Hordeum vulgare. Laboratory toxicity results showed that among the non-target test species, D. magna and V. fischeri were the most sensitive to glyphosate formulations: acute EC50 values ranged from 4 to 49 mg L-1. Direct relation between the toxicity of the tested formulations and the presence/absence of the surfactant POEA was not evident. Long-term outdoor experiments (April to September 2012) showed that the number of heterotrophic microbes in Roundup-spiked (up to 1000-fold the recommended field rate) soils during two months after the treatment were significantly higher than in the control soils, especially in case of Roundup Quick (TM). Residual toxicity of the treated soils to terrestrial plants decreased more rapidly in Roundup Quick-spiked soils. It was shown that in temperate climate conditions the recovery of soil health in case of (accidental) pollution by glyphosate formulations is slow and may even exceed the duration of the vegetation period. The mobility of glyphosate in the soils proved very low thus risks to aquatic ecosystems due to application of glyphosate-based herbicides may occur rather in case of direct contamination of surface water. (C) 2013 Elsevier B.V. All rights reserved.",2013,"72","215","224","http://dx.doi.org/10.1016/j.apsoil.2013.07.005","YES","YES","NO","n/a","n/a"
"143","wos976","Guy","YES","Hourmant, A; Amara, A; Pouline, P; Durand, G; Arzul, G; Quiniou, F","effect of bentazon on growth and physiological responses of marine diatom: chaetoceros gracilis","TOXICOLOGY MECHANISMS AND METHODS","The herbicide bentazon (CASRN 25057-89-0) is extensively used in agriculture in Brittany (France) to replace atrazine. Bentazon is not readily adsorbed by soil and therefore it enters adjacent freshwater ecosystems, making its way to estuarine and marine waters areas. Information regarding its effects on marine ecosystems is scarce. Phytotoxicity assessments were conducted in the laboratory on the common diatom Chaetoceros gracilis using both the active ingredient and its formulated product (Basamais). The 3 day EC50 Using cell counts were, respectively, 150 mg/L and 60 mu g/L for bentazon active ingredient and for bentazon-formulated while cellular volume was increased. Although bentazon is known as a photosystem II inhibitor, it produced an increase of pigment (chlorophylls a, c, and carotenoids) content, ATP synthesis, rates of photosynthesis and respiration, and TBARS formation. Therefore, pigments cannot be used as biomarkers of toxicity. Algal cell recovery from bentazon effects occurred after 6-9 days, suggesting a tolerance mechanism.",2009,"19","109","115","http://dx.doi.org/10.1080/15376510802290892","YES","NO","YES","PHOTOSYNTHESIS/RESPIRATION/GENOTOXICITY","no CIs and apparent unit confusion in table 2. Contact to request raw data."
"146","scopus3747","Guy","YES","Morgan M.J.; Kiceniuk J.W.","effect of fenitrothion on the foraging behavior of juvenile atlantic salmon","Environmental Toxicology and Chemistry","Juvenile Atlantic salmon (Salmo salar) were exposed for 7 d to sublethal concentrations of technical grade fenitrothion and an operational formulation containing 11% fenitrothion Foraging behavior of the salmon was then tested in a stream tank Concentrations of 0 02 and 0 16 μl/L of technical grade fenitrothion and the operational formulation containing 0 08 and 0 16 μl/L of fenitrothion caused a significant decrease in the efficiency of the salmon's attack sequence These concentrations, and a concentration of 0 005 μl/L technical grade fenitrothion and 0 004 μl/L fenitrothion in the operational spray, produced a significant decrease in the salmon's reaction distance to prey All concentrations except for 0 004 μl/L fenitrothion in the operational formulation caused a significant decrease in the number of ingestions of prey made by the fish These results suggest that foraging behavior in salmon is impaired by exposure to very low levels of fenitrothion Copyright © 1990 SETAC",1990,"9","489","495","10.1002/etc.5620090412","YES","YES","NO","FORAGING BEHAVIOUR","n/a"
"151","wos45","Guy","YES","Bach, NC; Natale, GS; Somoza, GM; Ronco, AE","effect on the growth and development and induction of abnormalities by a glyphosate commercial formulation and its active ingredient during two developmental stages of the south american creole frog leptodactylus latrans","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","We evaluated the acute lethal and sublethal effects of technical-grade glyphosate (GLY) and the GLY-based commercial formulation Roundup ULTRA MAXA (R) (RU) on two Gosner stages (Gss) 25 and 36 of the South-American Creole frog, Leptodactylus latrans. Bioassays were performed following standardized methods within a wide range of concentrations (0.0007-9.62 mg of acid equivalents per liter-a.e./L-of RU and 3-300 mg/L of GLY). The endpoints evaluated were mortality, swimming activity, growth, development, and the presence of morphologic abnormalities, especially in the mouthparts. No lethal effects were observed on larvae exposed to GLY during either Gs-25 or Gs-36. The concentrations inducing 50 % lethality in RU-exposed larvae at different exposure times and Gss ranged from 3.26 to 9.61 mg a.e./L. Swimming activity was affected by only RU. Effects on growth and development and the induction of morphologic abnormalities-like oral abnormalities and edema-were observed after exposure to either GLY or RU. Gs-25 was the most sensitive stage to both forms of the herbicide. The commercial formulation was much more toxic than the active ingredient on all the endpoints assessed. Effects on growth, development, and the induction of morphologic abnormalities observed in the range of environmental concentrations reported for agroecosystems of Argentina constitute an alert to the potential detrimental effects of the herbicide that could be affecting the fitness and survival of anurans in agroecosystems.",2016,"23","23959","23971","http://dx.doi.org/10.1007/s11356-016-7631-z","YES","YES","NO","GROWTH","LD50 >300 for AI. Have to simulate SD."
"159","wos91","Guy","YES","Mansano, AS; Moreira, RA; Dornfeld, HC; Freitas, EC; Vieira, EM; Sarmento, H; Rocha, O; Seleghim, MHR","effects of diuron and carbofuran and their mixtures on the microalgae raphidocelis subcapitata","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","In aquatic environments, organisms are often exposed to mixtures of several pesticides. In this study, the effects of carbofuran and diuron and their mixtures on the microalgae Raphidocelis subcapitata were investigated. For this purpose, toxicity tests were performed with the single compounds (active ingredients and commercial formulations) and their combinations (only active ingredients). According to the results, the toxicity of active ingredients and their commercial formulations to R. subcapitata was similar. In the single exposures, both carbofuran and diuron inhibited significantly the it subcapitntn growth and caused physiological (chlorophyll a content) and morphological (complexity and cell size) changes in cells, as captured by flow cytometry single-cell properties. Regarding the mixture toxicity tests, data fitted to both reference models, concentration addition (CA) and independent action (IA), and evidenced significant deviations. After the CA fitting, dose-ratio dependent deviation had the best fit to the data, demonstrating synergism caused mainly by diuron and antagonism caused mainly by carbofuran. After fitting the IA model, a synergistic deviation represented the best fit for the diuron and carbofuran mixtures. In general, the two reference models indicated the occurrence of synergism in the mixtures of these compounds, especially when diuron was the dominant chemical in the combinations. The increased toxicity caused by the mixture of these pesticides could pose a greater environmental risk for phytoplankton. Thus, exposure to diuron and carbofuran mixtures must also be considered in risk assessments, since the combination of these compounds may result in more severe effects on algae population growth than single exposures.",2017,"142","312","321","http://dx.doi.org/10.1016/j.ecoenv.2017.04.024","YES","YES","NO","PHYSIOLOGY/MORPHOLOGY","n/a"
"160","wos26","Guy","YES","Mansano, AS; Moreira, RA; Pierozzi, M; Oliveira, TMA; Vieira, EM; Rocha, O; Regali-Seleghim, MH","effects of diuron and carbofuran pesticides in their pure and commercial forms on paramecium caudatum: the use of protozoan in ecotoxicology","ENVIRONMENTAL POLLUTION","Toxic effects of diuron and carbofuran on Paramecium caudatum were evaluated. Acute and chronic tests were conducted with diuron and carbofuran active ingredients and their commercial formulations, Diuron Nortox (R) 500 SC and Furadan (R) 350 SC, respectively. The sensitivity range of P. caudatum to reference substance sodium chloride was established. A preliminary risk assessment of diuron and carbofuran for Brazilian water bodies was performed. The tests indicated that toxicity of pure diuron and its commercial formulation was similar, while the commercial product carbofuran was more toxic than its pure form. In acute tests, readings were carried out at 2, 3, 4 and 6 h and showed an increase of mortality with increasing exposure time. The sensitivity of P. caudatum to NaCl ranged from 3.31 to 4.44 g L-1, averaging 3.88 g L-1. For diuron, the 6 h LC50 was 64.6 +/- 3.3 mg L-1 for its pure form and 62.4 +/- 2.5 mg L-1 for its commercial formulation. Carbofuran active ingredient was less toxic than that of diuron, presenting a 6 h LC50 of 142.0 +/- 2.4 mg L-1 for its pure form and 70.4 +/- 2.2 mg L-1 for its commercial product. Chronic tests showed that these pesticides cause significant decrease on population growth, generation number and biomass of P. caudatum. The 24 h IC50 was 7.10 +/- 0.58 mg L-1 for pure diuron, 6.78 +/- 0.92 mg L-1 for commercial diuron, 22.95 +/- 3.57 mg L-1 for pure carbofuran and 4.98 +/- 0.62 mg L-1 for commercial carbofuran. Preliminary risk assessment indicated that diuron and carbofuran present potential ecological risks for Brazilian water bodies. P. caudatum was a suitable and sensitive test organism to evaluate diuron and carbofuran toxicity to freshwater protozooplankton and, taking into account the relevant role of protozoans in aquatic environments, we strongly recommend its inclusion in ecotoxicological studies. (C) 2015 Elsevier Ltd. All rights reserved.",2016,"213","160","172","http://dx.doi.org/10.1016/j.envpol.2015.11.054","YES","YES","NO","GROWTH","n/a"
