STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
wos196,Guy,NO,"Benuszak, J; Laurent, M; Chauzat, MP",The exposure of honey bees (Apis mellifera; Hymenoptera: Apidae) to pesticides: Room for improvement in research,SCIENCE OF THE TOTAL ENVIRONMENT,"Losses of honey bees have been repeatedly reported from many places worldwide. The widespread use of synthetic pesticides has led to concerns regarding their environmental fate and their effects on pollinators. Based on a standardised review, we report the use of a wide variety of honey bee matrices and sampling methods in the scientific papers studying pesticide exposure. Matrices such as beeswax and beebread were very little analysed despite their capacities for long-term pesticide storage. Moreover, bioavailability and transfer between in-hive matrices were poorly understood and explored. Many pesticides were studied but interactions between molecules or with other stressors were lacking. Sampling methods, targeted matrices and units of measure should have been, to some extent, standardised between publications to ease comparison and cross checking. Data on honey bee exposure to pesticides would have also benefit from the use of commercial formulations in experiments instead of active ingredients, with a special assessment of co-formulants (quantitative exposure and effects). Finally, the air matrix within the colony must be explored in order to complete current knowledge on honey bee pesticide exposure. (C) 2017 Elsevier B.V. All rights reserved.",2017,587,423,438,http://dx.doi.org/10.1016/j.scitotenv.2017.02.062
wos256,Guy,NO,"Kwiatkowska, M; Jarosiewicz, P; Bukowska, B","GLYPHOSATE AND ITS FORMULATIONS - TOXICITY, OCCUPATIONAL AND ENVIRONMENTAL EXPOSURE",MEDYCYNA PRACY,"Glyphosate (N-(phosphonomethyl)glycine) is an active ingredient of the most widely used herbicide formulations in protecting agricultural and horticultural crops. Numerous results (mostly published in the years 2010-2013) concerning the action of glyphosate and its formulations in the recent decade were analyzed. Initial reports about alleged biodegradability of glyphosate in the environment turned out to be wrong. It has been shown that glyphosate remains in the soil and can reach people by spreading along with groundwater. Recent publications have shown that glyphosate is detected at low concentrations in the human blood. Publications cited in this article, which indicate a possible induction of neoplastic changes by glyphosate formulation, have raised great concern and controversy in the scientific world. Presenting adverse effects of glyphosate and its formulations we focused on the role of glyphosate formulations in hormonal disorders by impeding the expression of steroidogenic acute regulatory protein and the inhibition of aromatase activity. The impact of glyphosate on oxygen reactive species formation, changes in redox system and the effect on necrosis and apoptosis in various types of cells was shown. We also revealed that glyphosate as a phosphonate herbicide does not inhibit directly the activity of acetylcholinesterase. Based on numerous studies it was noted that commercial formulations of glyphosate exhibit higher toxicity than that of the active substance itself. The discussed problems clearly show the need to evaluate the toxicity of glyphosate and its formulations and related potential threat to humans.",2013,64,717,729,NA
wos257,Guy,NO,"Bruce, AB; Borlu, Y; Glenna, LL",Assessing the scientific support for U.S. EPA pesticide regulatory policy governing active and inert ingredients,JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES,"US Environmental Protection Agency (EPA) pesticide regulatory policy only requires environmental impact and safety testing and labeling of the active ingredients of pesticide products, rather than the end use formula. This policy is thought to partially explain the conflicting outcomes of the International Agency for Research on Cancer (IARC) and EPA assessments on glyphosate, and there is substantial scientific evidence that this approach has led to an underestimation of risk. In this paper, we present a review of EPA pesticide policy governing the regulation of active and other ingredients and findings from a survey of US agricultural scientists focused on their views of this EPA policy. The survey findings indicate that the scientists we surveyed support a more comprehensive approach to the regulation of pesticide products, including both active and inert ingredients, as well as the end use product, to test for combined effects. They also support the disclosure and labeling of inert ingredients to support independent testing of these chemicals. The results also indicate that university scientists oriented towards public science are more likely to support regulation than university scientists oriented towards private science. Overall, despite substantial evidence that the combination of all ingredients in pesticide products may be more toxic than the active ingredients alone, the current regulatory approach does not provide a pathway for the agency to respond to this science. In this sense, the scientific support for the agency's current regulatory approach is unclear.",2023,13,1,13,http://dx.doi.org/10.1007/s13412-022-00788-4
wos266,Guy,NO,"Giglio, A; Vommaro, ML",Dinitroaniline herbicides: a comprehensive review of toxicity and side effects on animal non-target organisms,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"The widespread use of herbicides has increased concern about the hazards and risks to animals living in terrestrial and aquatic ecosystems. A comprehensive understanding of their effective action at different levels of biological organization is critical for establishing guidelines to protect ecosystems and human health. Dinitroanilines are broad-spectrum pre-emergence herbicides currently used for weed control in the conventional agriculture. They are considered extremely safe agrochemicals because they act specifically on tubulin proteins and inhibit shoot and root growth of plants. However, there is a lack of toxicity information regarding the potential risk of exposure to non-target organisms. The aim of the present review is to focus on side effects of the most commonly used active ingredients, e.g. pendimethalin, oryzalin, trifluralin and benfluralin, on animal non-target cells of invertebrates and vertebrates. Acute toxicity varies from slightly to high in terrestrial and aquatic species (i.e. nematodes, earthworms, snails, insects, crustaceans, fish and mammals) depending on the species-specific ability of tested organisms to adsorb and discharge toxicants. Cytotoxicity, genotoxicity and activation of oxidative stress pathways as well as alterations of physiological, metabolic, morphological, developmental and behavioural traits, reviewed here, indicate that exposure to sublethal concentrations of active ingredients poses a clear hazard to animals and humans. Further research is required to evaluate the molecular mechanisms of action of these herbicides in the animal cell and on biological functions at multiple levels, from organisms to communities, including the effects of commercial formulations.",2022,29,76687,76711,http://dx.doi.org/10.1007/s11356-022-23169-4
wos269,Guy,NO,"Tominack, RL",Herbicide formulations,JOURNAL OF TOXICOLOGY-CLINICAL TOXICOLOGY,"Background: Herbicides comprise nearly half of the 5 billion pounds of pesticide active ingredients used worldwide annually. The active ingredient must be formulated with other ingredients to allow mixing, dilution, application, and stability. Liquid commercial formulations for spray foliar application include water-soluble liquids, emulsifiable concentrates, suspension concentrates or flowables, and gels. Dry formulations that are mixed with water for spray application include wettable powders and water-dispersible granules. Granules are broadcast directly out of the bag. The carrier in liquid formulations is either water or an organic solvent or oil. The general chemical class of the carrier may be deduced based on the solubility characteristics of the active ingredient. Cosolvents may be necessary to optimize solubility and stability. Surfactants are nearly universally present in herbicide formulations or added prior to application. They aid uniform spreading of the spray droplet on the leaf and penetration of its waxy cuticle by the active ingredient. In solvent-based formulations, surfactants permit a stable oil-in-water emulsion to form when diluted with water for actual use. New surfactant systems are currently of intense competitive importance. Other formulation ingredients include pH adjusters, buffers, milling aids, antifoaming agents, acid scavengers, dyes, suspending agents, preservatives, dispersants, emulsifiers, densifiers, antifreeze, and crystal promoters. In highly regulated environments, the other formulation components in pesticides are receiving scrutiny. In the US, the EPA's strategy has been to categorize currently used formulation ingredients into 4 lists based on their toxicology profiles. The ultimate outcome is to have all inert ingredients on List 4, Minimal Risk. List 4 ingredients are generally regarded as safe or Rave current use patterns that do not pose an unreasonable risk of adverse effect to public health or the environment.",2000,38,129,135,http://dx.doi.org/10.1081/CLT-100100927
wos320,Guy,NO,"Nagy, K; Duca, RC; Lovas, S; Creta, M; Scheepers, PTJ; Godderis, L; Adam, B",Systematic review of comparative studies assessing the toxicity of pesticide active ingredients and their product formulations,ENVIRONMENTAL RESEARCH,"Humans are exposed to complex chemical mixtures, such as pesticides. Although the need for the assessment of health and environmental hazards deriving from the interactions between various substances found in commercial pesticide formulations is becoming increasingly recognized, the approval of pesticide products is still mostly limited to determining the toxicity of the individual ingredients ignoring the possible combined effects in mixtures. The objective of this study was to systematically review the literature of in vitro and in vivo studies that simultaneously examine the toxicity of pesticide product formulations and their declared active ingredients to compare their toxicity to human health and to the environment. Two electronic databases were searched for studies that assessed the health effects of active pesticide ingredients and their product formulations. The literature search was performed with a combination of the following terms: pesticide, formulation, commercial product, commercial pesticide and health. After screening by predefined inclusion and exclusion criteria, quality and reliability assessment of eligible publications was conducted by use of the ToxRTool. Two investigators independently screened the identified publications and extracted results from eligible studies. Our search yielded 36 toxicity studies; 23 studies investigated herbicides, 15 examined insecticides and 4 focused on fungicides. Twenty-four studies reported increased toxicity of the product formulations versus their active ingredients, which, in most cases, were attributed to the presence of adjuvants in the formulations. A significant number (n = 10) of studies focused on the comparative testing of glyphosate and glyphosate-based herbicides, and six of them concluded that Roundup, the dominant product formulation of glyphosate, is more toxic than the active ingredient alone. We identified only 8 studies demonstrating reduced toxicity of product formulations in relation to the active ingredient that might be due to a potential antagonistic effect between the constituents. The results of this review demonstrate the inadequacy of current EU testing requirements for assessing the health hazards of pesticide product formulations based mainly on the evaluation of the individual ingredients and of at least one representative use and formulation. Ignoring the possible risks deriving from the interaction between the active and other ingredients of various commercial pesticide product formulations might result in the misinterpretation of its toxicological profile. At EU level efforts are currently made to address this issue. In this context, we recommend that all product formulations should be fully assessed during the authorization process.",2020,181,NA,NA,http://dx.doi.org/10.1016/j.envres.2019.108926
wos332,Guy,NO,"Bencko, V; Foong, FYL",The history of arsenical pesticides and health risks related to the use of Agent Blue,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,"Arsenicals in agriculture. Beginning in the 1970s, the use of arsenic compounds for such purposes as wood preservatives, began to grow. By 1980, in the USA, 70% of arsenic had been consumed for the production of wood preservatives. This practice was later stopped, due to the US Environmental Protection Agency (EPA) ban of the arsenic-and chromium-based wood preservative chromated copper arsenate. In the past, arsenical herbicides containing cacodylic acid as an active ingredient have been used extensively in the USA, from golf courses to cotton fields, and drying-out the plants before harvesting. The original commercial form of Agent Blue was among 10 toxic insecticides, fungicides and herbicides partially deregulated by the US EPA in February 2004, and specific limits on toxic residues in meat, milk, poultry and eggs, were removed. Today, however, they are no longer used as weed-killers, with one exception - monosodium methanearsonate (MSMA), a broadleaf weed herbicide for use on cotton. Severe poisonings from cacodylic acid caused headache, dizziness, vomiting, profuse and watery diarrhea, followed by dehydration, gradual fall in blood pressure, stupor, convulsions, general paralysis and possible risk of death within 3-14 days. The relatively frequent use of arsenic and its compounds in both industry and agriculture points to a wide spectrum of opportunities for human exposure. This exposure can be via inhalation of airborne arsenic, contaminated drinking water, beverages, or from food and drugs. Today, acute organic arsenical poisonings are mostly accidental. Considerable concern has developed surrounding its delayed effects, for its genotoxic and carcinogenic potential, which has been demonstrated in epidemiological studies and subsequent animal experiments. Conclusions. There is substantial epidemiological evidence for an excessive risk, mostly for skin and lung cancer, among humans exposed to organic arsenicals in occupational and environmental settings. Furthermore, the genotoxic and carcinogenic effects have only been observed at relatively high exposure rates. Current epidemiological and experimental studies are attempting to elucidate the mechanism of this action, pointing to the question whether arsenic is actually a true genotoxic, or rather an epigenetic carcinogen. Due to the complexity of its effects, both options remain plausible. Its interactions with other toxic substances still represent another important field of interest.",2017,24,312,316,http://dx.doi.org/10.26444/aaem/74715
wos352,Guy,NO,"Brody, JG; Rudel, RA",Environmental pollutants and breast cancer,ENVIRONMENTAL HEALTH PERSPECTIVES,"Breast cancer is the most common cancer in women and the leading cause of cancer death among women 35-54 years of age. Rising incidence, increased risk among migrants to higher risk regions, and poor prediction of individual risk have prompted a search for additional modifiable factors. Risk factors for breast cancer include reproductive characteristics associated with estrogen and other hormones, pharmaceutical hormones, and activities such as alcohol use and lack of exercise that affect hormone levels. As a result, investigation of hormonally active compounds in commercial products and pollution is a priority. Compounds that cause mammary tumors in animals are additional priorities. Animal models provide insight into possible mechanisms for effects of environmental pollutants on breast cancer and identify chemical exposures to target in epidemiologic studies. Although few epidemiologic studies have been conducted for chemical exposures, occupational studies show associations between breast cancer and exposure to certain organic solvents and polycyclic aromatic hydrocarbons (PAHs). Population-based studies have been limited to a few organochlorine compounds and PAHs and have been mostly negative. A variety of challenges in studies of breast cancer and the environment may have contributed to negative findings. Lack of exposure assessment tools and few hypothesis-generating toxicologic studies limit the scope of epidemiologic studies. Issues of timing with respect to latency and periods of breast vulnerability, and individual differences in susceptibility pose other challenges. Substantial work is needed in exposure assessment, toxicology, and susceptibility before we can expect a pay-off from large epidemiologic studies of breast cancer and environment.",2003,111,1007,1019,http://dx.doi.org/10.1289/ehp.6310
wos383,Guy,NO,"Castro, MJL; Ojeda, C; Cirelli, AF",Advances in surfactants for agrochemicals,ENVIRONMENTAL CHEMISTRY LETTERS,"Pesticide efficacy is improved by surfactants. Increase in the foliar uptake is particularly useful for herbicides, growth regulators and defoliants, because less active compounds are needed, thus decreasing cost and pollution. Therefore, the choice of the adjuvant in an agrochemical formulation is crucial. The surfactants commonly used as adjuvants include anionic, non-ionic, amphoteric and cationic surfactants. This review analyses the role and properties of the new adjuvants for agriculture and the improvement of the ecotoxicity profile of the pesticide formulations in glyphosate formulation.",2014,12,85,95,http://dx.doi.org/10.1007/s10311-013-0432-4
wos396,Guy,NO,"Garcia-Garcia, AL; Garcia-Machado, FJ; Borges, AA; Morales-Sierra, S; Boto, A; Jimenez-Arias, D",Pure Organic Active Compounds Against Abiotic Stress: A Biostimulant Overview,FRONTIERS IN PLANT SCIENCE,"Biostimulants (BSs) are probably one of the most promising alternatives nowadays to cope with yield losses caused by plant stress, which are intensified by climate change. Biostimulants comprise many different compounds with positive effects on plants, excluding pesticides and chemical fertilisers. Usually mixtures such as lixiviates from proteins or algal extracts have been used, but currently companies are interested in more specific compounds that are capable of increasing tolerance against abiotic stress. Individual application of a pure active compound offers researchers the opportunity to better standarise formulations, learn more about the plant defence process itself and assist the agrochemical industry in the development of new products. This review attempts to summarise the state of the art regarding various families of organic compounds and their mode/mechanism of action as BSs, and how they can help maximise agricultural yields under stress conditions aggravated by climate change.",2020,11,NA,NA,http://dx.doi.org/10.3389/fpls.2020.575829
wos400,Guy,NO,"Sarah, R; Tabassum, B; Idrees, N; Hussain, MK",Bio-active Compounds Isolated from Neem Tree and Their Applications,"NATURAL BIO-ACTIVE COMPOUNDS, VOL 1: PRODUCTION AND APPLICATIONS","The extracts of different parts of neem tree (Azadirachta indica) have been well documented for its pharmacological or medicinal properties and their wide applications by indigenous healthcare practices. Pharmacological properties exhibited by plant parts could be further explored for development of new herbal formulations and therapeutic agents. Pharmacological properties of neem tree are due to the presence of active phytochemicals like flavonoids, terpenoids, coumarins, alkaloids, tannins, sulphurous compounds, carbohydrates, proteins and minerals. Various medicinal properties and applications of neem tree have been well documented in ancient Indian system of medicine and scripts such as Susruta Samhita and Charak Samhita. Over 700 herbal preparations based on A. indica have been recognized in traditional system of medicine such as Unani, homoeopathy, Ayurveda and Siddha, and more than 160 local practices are known in different countries of the world in which neem contributes as a main or the sole constituent for curing various diseases. Neem displays various medicinal properties such as antioxidant, anti-inflammatory, antidiabetic, anticancer, antiviral, antibacterial, antigingivitis, antifungal, antiulcer, hepatoprotective, neuroprotective, antipyretic and wound healing activities. All the parts of neem tree have been used as traditional medicines. In addition to its therapeutic potential, neem is being extensively used as eco-friendly commercial agrochemicals and pesticides. The present chapter provides the critical description of phytochemistry and pharmacological properties of different parts of neem tree and its important natural bio-active compounds.",2019,NA,509,528,http://dx.doi.org/10.1007/978-981-13-7154-7_17
wos401,Guy,NO,"Inoue, T",Hormonally active agents and plausible relationships to adverse effects on human health,PURE AND APPLIED CHEMISTRY,"A hormonally active compound was first identified in the book Silent Spring by Rachel Carson in 1962, implicating the effect of pesticides such as DDT and the derivatives. Nearly four decades later, the book Our Stolen Future by Theo Colborn et al., and other pertinent publications have revisited and broadened the issue regarding a variety of possible chemicals and the area exposed. Translation and publication became available in Japan within the last four years. Since then, Japan joined the member countries involved in the global issue of endocrine disruptors, the environmental hormone. Although a significant number of chemicals possessing a hormone-like action have been recognized for many years, and the action of their biological plausibility related to the receptor-mediated effects strongly suggests possible human effects comparable to hormonal changes in wildlife, little is known about evidences or adversities in experimental animals and humans. The most essential key to resolving these dilemmas may be to understand the mechanism of actions (i.e., a possible low-dose issue). In other words, the mechanism at the low-dose effect may be resolved simultaneously by the mechanism of three major questions linked to the low-dose issue; namely, threshold, possible oscillation, and additive and/or synergistic action.",2003,75,2555,2561,http://dx.doi.org/10.1351/pac200375112555
wos405,Guy,NO,"Jeschke, P",The unique role of halogen substituents in the design of modern agrochemicals,PEST MANAGEMENT SCIENCE,"The past 30 years have witnessed a period of significant expansion in the use of halogenated compounds in the field of agrochemical research and development. The introduction of halogens into active ingredients has become an important concept in the quest for a modern agrochemical with optimal efficacy, environmental safety, user friendliness and economic viability. Outstanding progress has been made, especially in synthetic methods for particular halogen-substituted key intermediates that were previously prohibitively expensive. Interestingly, there has been a rise in the number of commercial products containing 'mixed' halogens, e.g. one or more fluorine, chlorine, bromine or iodine atoms in addition to one or more further halogen atoms. Extrapolation of the current trend indicates that a definite growth is to be expected in fluorine-substituted agrochemicals throughout the twenty-first century. A number of these recently developed agrochemical candidates containing halogen substituents represent novel classes of chemical compounds with new modes of action. However, the complex structure-activity relationships associated with biologically active molecules mean that the introduction of halogens can lead to either an increase or a decrease in the efficacy of a compound, depending on its changed mode of action, physicochemical properties, target interaction or metabolic susceptibility and transformation. In spite of modern design concepts, it is still difficult to predict the sites in a molecule at which halogen substitution will result in optimal desired effects. This review describes comprehensively the successful utilisation of halogens and their unique role in the design of modern agrochemicals, exemplified by various commercial products from Bayer CropScience coming from different agrochemical areas. (C) 2009 Society of Chemical Industry",2010,66,10,27,http://dx.doi.org/10.1002/ps.1829
wos407,Guy,NO,"Jeschke, P",Propesticides and their use as agrochemicals,PEST MANAGEMENT SCIENCE,"The synthesis of propesticides is an important concept in design of modern agrochemicals with optimal efficacy, environmental safety, user friendliness and economic variability. Based on increasing knowledge of the biochemistry and genetics of major pest insects, weeds and agricultural pathogens, the search for selectivity has become an ever more important part of pesticide development and can be achieved by appropriate structural modifications of the active ingredient. Propesticides affect the absorption, distribution, metabolism and excretion parameters, which can lead to biological superiority of these modified active ingredients over their non-derivatised analogues. Various selected commercial propesticides testify to the successful utilisation of this concept in the design of agrochemicals. This review describes comprehensively the successful utilisation of propesticides and their role in syntheses of modern agrochemicals, exemplified by selected commercial products coming from different agrochemical areas. (C) 2015 Society of Chemical Industry",2016,72,210,225,http://dx.doi.org/10.1002/ps.4170
wos422,Guy,NO,"Jimenez-Reyes, MF; Carrasco, H; Olea, AF; Silva-Moreno, E",NATURAL COMPOUNDS: A SUSTAINABLE ALTERNATIVE TO THE PHYTOPATHOGENS CONTROL,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,"Fungi are the primary infectious agents in plants causing significant economic losses in agroindustry. Traditionally, these pathogens have been treated with different synthetic fungicides such as hydroxianilides, anilinopyrimidines, and azoles, to name a few. However, the indiscriminate use of these chemicals has increased fungi resistance in plants. Natural products have been researched as a control, and an alternative to these synthetic fungicides since they are not harmful to health and contribute to the environment caring. This review describes plants extracts, essential oils, and active compounds or secondary metabolites as antifungal agents both, in vitro and in vivo. Active compounds have been recently described as the best candidates for the control of phytopathogenic fungi. When metabolized by plants, these compounds concentrations rely on the environmental conditions and pathogens incidence. However, one issue regarding the direct application of these preformed compounds in plants touch upon their low persistence in the environment, and their even lower bioavailability than synthetic fungicides. Hence the challenge is to develop useful formulations based on natural products to increase the compounds solubility facilitating thus their application in the field while maintaining their properties.",2019,64,4459,4465,http://dx.doi.org/10.4067/S0717-97072019000204459
