STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
scopus291,Guy,NO,Kwiatkowska M.; Jarosiewicz P.; Bukowska B.,"Glyphosate and its formulations - toxicity, occupational and environmental exposure; [Glifosat i jego preparaty - toksyczność, narażenie zawodowe i środowiskowe]",2013,Medycyna Pracy,64,717,729,10.13075/mp.5893.2013.0059,"Glyphosate (N-(phosphonomethyl)glycine) is an active ingredient of the most widely used herbicide formulations in protecting agricultural and horticultural crops. Numerous results (mostly published in the years 2010-2013) concerning the action of glyphosate and its formulations in the recent decade were analyzed. Initial reports about alleged biodegradability of glyphosate in the environment turned out to be wrong. It has been shown that glyphosate remains in the soil and can reach people by spreading along with groundwater. Recent publications have shown that glyphosate is detected at low concentrations in the human blood. Publications cited in this article, which indicate a possible induction of neoplastic changes by glyphosate formulation, have raised great concern and controversy in the scientific world. Presenting adverse effects of glyphosate and its formulations we focused on the role of glyphosate formulations in hormonal disorders by impeding the expression of steroidogenic acute regulatory protein and the inhibition of aromatase activity. The impact of glyphosate on oxygen reactive species formation, changes in redox system and the effect on necrosis and apoptosis in various types of cells was shown. We also revealed that glyphosate as a phosphonate herbicide does not inhibit directly the activity of acetylcholinesterase. Based on numerous studies it was noted that commercial formulations of glyphosate exhibit higher toxicity than that of the active substance itself. The discussed problems clearly show the need to evaluate the toxicity of glyphosate and its formulations and related potential threat to humans. © Instytut Medycyny Pracy im. prof. J. Nofera w Łodzi."
scopus339,Guy,NO,Bradberry S.M.; Proudfoot A.T.; Vale J.A.,Glyphosate poisoning,2004,Toxicological Reviews,23,159,167,10.2165/00139709-200423030-00003,"Glyphosate is used extensively as a non-selective herbicide by both professional applicators and consumers and its use is likely to increase further as it is one of the first herbicides against which crops have been genetically modified to increase their tolerance. Commercial glyphosate-based formulations most commonly range from concentrates containing 41% or more glyphosate to 1% glyphosate formulations marketed for domestic use. They generally consist of an aqueous mixture of the isopropylamine (IPA) salt of glyphosate, a surfactant, and various minor components including anti-foaming and colour agents, biocides and inorganic ions to produce pH adjustment. The mechanisms of toxicity of glyphosate formulations are complicated. Not only is glyphosate used as five different salts but commercial formulations of it contain surfactants, which vary in nature and concentration. As a result, human poisoning with this herbicide is not with the active ingredient alone but with complex and variable mixtures. Therefore, It is difficult to separate the toxicity of glyphosate from that of the formulation as a whole or to determine the contribution of surfactants to overall toxicity. Experimental studies suggest that the toxicity of the surfactant, polyoxyethyleneamine (POEA), is greater than the toxicity of glyphosate alone and commercial formulations alone. There is insufficient evidence to conclude that glyphosate preparations containing POEA are more toxic than those containing alternative surfactants. Although surfactants probably contribute to the acute toxicity of glyphosate formulations, the weight of evidence is against surfactants potentiating the toxicity of glyphosate. Accidental ingestion of glyphosate formulations is generally associated with only mild, transient, gastrointestinal features. Most reported cases have followed the deliberate ingestion of the concentrated formulation of Roundup®1 (41% glyphosate as the IPA salt and 15% POEA). There is a reasonable correlation between the amount ingested and the likelihood of serious systemic sequelae or death. Advancing age is also associated with a less favourable prognosis. Ingestion of >85mL of the concentrated formulation is likely to cause significant toxicity in adults. Gastrointestinal corrosive effects, with mouth, throat and epigastric pain and dysphagia are common. Renal and hepatic impairment are also frequent and usually reflect reduced organ perfusion. Respiratory distress, impaired consciousness, pulmonary oedema, infiltration on chest x-ray, shock, arrythmias, renal failure requiring haemodialysis, metabolic acidosis and hyperkalaemia may supervene in severe cases. Bradycardia and ventricular arrhythmias are often present pre-terminally. Dermal exposure to ready-to-use glyphosate formulations can cause irritation and photo-contact dermatitis has been reported occasionally; these effects are probably due to the preservative Proxel® (benzisothiazolin-3-one). Severe skin burns are very rare. Inhalation is a minor route of exposure but spray mist may cause oral or nasal discomfort, an unpleasant taste in the mouth, tingling and throat irritation. Eye exposure may lead to mild conjunctivitis, and superficial corneal injury is possible if irrigation is delayed or inadequate. Management is symptomatic and supportive, and skin decontamination with soap and water after removal of contaminated clothing should be undertaken in cases of dermal exposure. © 2004 Adis Data Information BV. All rights reserved."
scopus425,Guy,YES,Nakayama T.; Mimura Y.; Hirano K.,Renal cortical hypoperfusion caused by glyphosate–surfactant herbicide,2019,Clinical and Experimental Nephrology,23,865,866,10.1007/s10157-019-01691-z,[No abstract available]
scopus426,Guy,YES,Koyama K.,Glufosinate and a surfactant: Which component produces effects on the central nervous system in acute oral BASTA poisoning? [1],1999,Veterinary and Human Toxicology,41,341,,,[No abstract available]
scopus460,Guy,YES,Marschner A.,"Phytotoxicity studies with two anionic detergents (TPBS, LAS and a herbicide (atrazine); [Phytotoxizitätsuntersuchungen mit zwei anionischen Detergentien (TPBS, LAS) und einem Herbizid (Atrazin).]",1992,"Schriftenreihe des Vereins fur Wasser-, Boden- und Lufthygiene",89,459,483,,[No abstract available]
scopus466,Guy,YES,Wiger R.,Variability of lindane toxicity in Tetrahymena pyriformis with special reference to liposomal lindane and the surfactant tween 80®,1985,Bulletin of Environmental Contamination and Toxicology,35,452,459,10.1007/BF01636537,[No abstract available]
scopus467,Guy,YES,Renner R.,"Are industry's secret ""inerts"" an unrecognized environmental danger?",2005,Environmental science & technology.,39,417A,418A,,[No abstract available]
scopus480,Guy,YES,Martinez T.T.; Brown K.,Oral and pulmonary toxicology of the surfactant used in roundup herbicide,1991,Proceedings of the Western Pharmacology Society,34,43,46,,[No abstract available]
scopus490,Guy,YES,Pantani C.; Pannunzio G.; De Cristofaro M.; Novelli A.A.; Salvatori M.,"Comparative acute toxicity of some pesticides, metals, and surfactants to Gammarus italicus Goedm. and Echinogammarus tibaldii Pink. and Stock (Crustacea: Amphipoda)",1997,Bulletin of Environmental Contamination and Toxicology,59,963,967,10.1007/s001289900576,[No abstract available]
scopus508,Guy,YES,Akhavein A.A.; Linscott D.L.,"The dipyridylium herbicides, paraquat and diquat.",1968,Residue reviews,23,97,145,,[No abstract available]
scopus540,Guy,YES,Watkins II C.E.; Thayer D.D.; Haller W.T.,Toxicity of adjuvants to bluegill,1985,Bulletin of Environmental Contamination and Toxicology,34,138,142,10.1007/BF01609715,[No abstract available]
scopus545,Guy,YES,Shtannikov E.V.; Stepanova N.I.; Il'in I.E.; Eliseev I.I.,Delayed effects of pesticide and surface-active agent transformation products; [Otdalennye éffekty vliianiia produktov transformatsii pestitsidov i poverkhnostno-aktivnykh veshchestv.],1980,Gigiena i sanitariia,,14,16,,[No abstract available]
scopus547,Guy,YES,Stroev S.S.; Elinov N.P.,On a mechanism of fungicidal action of surface-active agents; [K izucheniiu mekhanizma fungitsidnogo deǐstviia poverkhnostnoaktivnykh veshchestv.],1967,Mikrobiologiya,36,451,455,,[No abstract available]
scopus558,Guy,YES,Il'in I.E.,Hazards of the redistribution of chemical and biological pollutants in an aqueous environment; [Izuchenie opasnosti pereraspredeleniia zagriazniteleǐ khimicheskoǐ i biologicheskoǐ prirody v vodnoǐ srede.],1986,Gigiena i sanitariia,,8,11,,[No abstract available]
scopus561,Guy,YES,Curran C.A.; Grassley J.M.; Grue C.E.,Toxicity of R-11® Surfactant to Juvenile Rainbow Trout: Does Size Matter?,2004,Bulletin of Environmental Contamination and Toxicology,72,401,408,10.1007/s00128-003-0264-1,[No abstract available]
scopus574,Guy,YES,Visser S.A.,Molluscicidal properties and selective toxicity of surface-active agents.,1965,Bulletin of the World Health Organization,32,713,719,,[No abstract available]
scopus582,Guy,YES,Riva M.C.; Valles B.,Effect of components of the textile mothproofing process on three freshwater microalgae species,1994,Bulletin of Environmental Contamination and Toxicology,52,292,297,10.1007/BF00198502,[No abstract available]
scopus586,Guy,YES,Omran L.A.; Mandour A.M.,Preliminary notes on the molluscicidal effect of some surface active agents.,1981,Journal of the Egyptian Society of Parasitology,11,207,211,,[No abstract available]
scopus705,Guy,YES,Cano E.; Jimenez A.; Cabral J.A.; Ocete M.E.,Acute toxicity of malathion and the new surfactant 'genapol OXD 080' on species of rice basins,1999,Bulletin of Environmental Contamination and Toxicology,63,133,138,10.1007/s001289900958,[No abstract available]
scopus723,Guy,NO,Nagy K.; Duca R.C.; Lovas S.; Creta M.; Scheepers P.T.J.; Godderis L.; Ádám B.,Systematic review of comparative studies assessing the toxicity of pesticide active ingredients and their product formulations,2020,Environmental Research,181,,,10.1016/j.envres.2019.108926,"Humans are exposed to complex chemical mixtures, such as pesticides. Although the need for the assessment of health and environmental hazards deriving from the interactions between various substances found in commercial pesticide formulations is becoming increasingly recognized, the approval of pesticide products is still mostly limited to determining the toxicity of the individual ingredients ignoring the possible combined effects in mixtures. The objective of this study was to systematically review the literature of in vitro and in vivo studies that simultaneously examine the toxicity of pesticide product formulations and their declared active ingredients to compare their toxicity to human health and to the environment. Two electronic databases were searched for studies that assessed the health effects of active pesticide ingredients and their product formulations. The literature search was performed with a combination of the following terms: “pesticide”, “formulation”, “commercial product”, “commercial pesticide” and “health”. After screening by predefined inclusion and exclusion criteria, quality and reliability assessment of eligible publications was conducted by use of the ToxRTool. Two investigators independently screened the identified publications and extracted results from eligible studies. Our search yielded 36 toxicity studies; 23 studies investigated herbicides, 15 examined insecticides and 4 focused on fungicides. Twenty-four studies reported increased toxicity of the product formulations versus their active ingredients, which, in most cases, were attributed to the presence of adjuvants in the formulations. A significant number (n = 10) of studies focused on the comparative testing of glyphosate and glyphosate-based herbicides, and six of them concluded that Roundup, the dominant product formulation of glyphosate, is more toxic than the active ingredient alone. We identified only 8 studies demonstrating reduced toxicity of product formulations in relation to the active ingredient that might be due to a potential antagonistic effect between the constituents. The results of this review demonstrate the inadequacy of current EU testing requirements for assessing the health hazards of pesticide product formulations based mainly on the evaluation of the individual ingredients and of at least one representative use and formulation. Ignoring the possible risks deriving from the interaction between the active and other ingredients of various commercial pesticide product formulations might result in the misinterpretation of its toxicological profile. At EU level efforts are currently made to address this issue. In this context, we recommend that all product formulations should be fully assessed during the authorization process. © 2019 Elsevier Inc."
scopus760,Guy,NO,Rakes M.; Pasini R.A.; Morais M.C.; Araújo M.B.; de Bastos Pazini J.; Seidel E.J.; Bernardi D.; Grützmacher A.D.,Pesticide selectivity to the parasitoid Trichogramma pretiosum: A pattern 10-year database and its implications for Integrated Pest Management,2021,Ecotoxicology and Environmental Safety,208,,,10.1016/j.ecoenv.2020.111504,"Trichogramma pretiosum is one of the main egg parasitoids used in the control of lepidopteran pests in Brazil. This natural enemy can be negatively affected by the use of insecticides, herbicides, and fungicides. The present work used a systematic review and meta-analysis to group information from multiple studies on the selectivity of pesticides (279 commercial products) in rice, corn, soybean, apple and peach crops for immature stages (egg-larva, pre-pupa, and pupa) and adult parasitoids. The selected studies used the International Organization for Biological and Integrated Control (IOBC) methodology with the same adaptations for T. pretiosum. The meta-analysis found that corn crops had the highest frequency of tests (2 0 7). The most frequently tested active ingredients (a.i.) were glyphosate, glyphosate isopropylamine salt, and sulfur at frequencies of 41, 32 and 24 tests, respectively. The pesticides registered for rice crops showed the greatest sublethal effects on T. pretiosum, with an approximately 47% reduction in parasitism (RP) or emergence (RE). The adult stage of the parasitoid showed greater sensitivity to the tested pesticides (65% RP), in comparison to the immature stages. In general, insecticides showed superior toxicity for all development stages of T. pretiosum, compared to herbicides and fungicides, regardless of the recommended dosage for the crop. The present study aggregates information related to selectivity for the four life stages of T. pretiosum, contributing significantly to the integration of biological control and chemical control in rice, corn, soybean, apple and peach crops in Brazil. © 2020 The Authors"
scopus762,Guy,YES,Smith B.C.; Curran C.A.; Brown K.W.; Cabarrus J.L.; Gown J.B.; McIntyre J.K.; Moreland E.E.; Wong V.L.; Grassley J.M.; Grue C.E.,Toxicity of Four Surfactants to Juvenile Rainbow Trout: Implications for Use over Water,2004,Bulletin of Environmental Contamination and Toxicology,72,647,654,10.1007/s00128-004-0292-5,[No abstract available]
scopus788,Guy,NO,Sasikumar N.; Clare A.S.; Gerhart D.J.; Stover D.; Rittschof D.,Comparative toxicities of selected compounds to nauplii of Balanus amphitrite amphitrite Darwin and Artemia sp.,1995,Bulletin of Environmental Contamination and Toxicology,54,289,296,10.1007/BF00197443,[No abstract available]
