"DATA_ID","STUDY_ID","AI_NAME","AI_50","AI_50_TYPE","AI_ERROR_LOWER","AI_ERROR_HIGHER","AI_ERROR_TYPE","AI_N_CONTAINER","AI_N_INDIVIDUALS_PER_CONTAINER","AI_N_STRUCTURE","FORM_NAME","FORM_50","FORM_50_TYPE","FORM_ERROR_LOWER","FORM_ERROR_HIGHER","FORM_ERROR_TYPE","FORM_N_CONTAINER","FORM_N_INDIVIDUALS_PER_CONTAINER","FORM_N_STRUCTURE","CI_METHOD","COMMON_CONTROL","MULTIPLE_MEASUREMENT","SPECIES_NAME_BINOMIAL","SPECIES_NAME_COMMON","STRAIN_CLONE_SOURCE","SPECIES_CLASS","SPECIES_PHYLUM","SPECIES_KINGDOM","ECOSYSTEM","LIFE_STAGE","EXPOSURE_DURATION_HOURS","PESTICIDE_CLASS","NANO_FORMULATION","SEX","EXPOSURE_ROUTE","ACUTE_CHRONIC_TOXICITY","TEMPERATURE_.C","PH","FEEDING_STATE","AGE_TEST_ORGANISM_HOURS","REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED","WATER_HARDNESS_mg_L_Ca_CO3","SE_SIMULATION_REQUIRED","FORMULATION_TYPE","FORMULATION_EXPRESSED_IN_AI_CONC","FORMULATION_VALUE_ADJUSTED","YEAR_PUBLISHED","NOTES"
64,"scopus3635","acephate",50000,"EC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 95%",50000,"EC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_o","scopus3635_15","Chironomus plumosus","buzzer midge","Columbia National Fisheries Research Laboratory","Insecta","Arthropoda","Animalia","Aquatic","larvae",48,"insecticide","NO","n/a","environmental","acute","17","7.4","n/a","4th instar","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used."
72,"scopus3635","acephate",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 75%",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_t","scopus3635_23","Oncorhynchus mykiss","rainbow trout","U.S. Fish and Wildlife Service hatcheries","Teleostei ","Chordata","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","17","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used. Used old species name for rainbow trout. Updated. In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
80,"scopus3635","acephate",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 75%",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_y","scopus3635_31","Lepomis macrochirus","bluegill","U.S. Fish and Wildlife Service hatcheries","Teleostei ","Chordata","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","22","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.  In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
87,"scopus3635","acephate",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 75%",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_a_d","scopus3635_38","Ictalurus punctatus","channel catfish","U.S. Fish and Wildlife Service hatcheries","Teleostei ","Chordata","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","22","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.  In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
91,"scopus3635","trichlorfon",100,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 80%",100,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_a_g","scopus3635_42","Pimephales promelas","fathead minnow","Columbia National Fisheries Research Laboratory","Teleostei ","Chordata","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","22","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.  In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
94,"scopus3635","acephate",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","WP 75%",50,"LC50","n/a","n/a","n/a",2,5,"10 individuals only, one vessel","litchfield-wilcoxon","scopus3635_a_i","scopus3635_45","Pimephales promelas","fathead minnow","Columbia National Fisheries Research Laboratory","Teleostei ","Chordata","Animalia","Aquatic","adult",96,"insecticide","NO","n/a","environmental","acute","22","7.4","n/a","n/a","YES","40","YES","wettable powder","YES","n/a",1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.  In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
111,"wos2111","glyphosate-IPA",64.09,"IC50","45.09","260.91","CI_95",3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint","Roundup",23.5,"IC50","n/a","n/a","n/a",3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint","probit","wos2111_e","wos2111_5","Euplotes vannus","n/a","Culture Collection of Algae and Protozoa (Cumbria,UK).","Spirotrichea","Ciliophora","Chromista ","Aquatic","n/a",48,"herbicide","NO","n/a","environmental","acute","20","8","n/a","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2003,"CIs for roundup could not be calculated"
123,"wos996","cycloxydim",100,"LC50","n/a","n/a","n/a",5,5,"5 replicates, 5 individuals","Focus Ultra",3.1752,"LC50","0.09612","0.09612","SE",5,5,"5 replicates, 5 individuals","drc package, specific model not reported","wos996_a","wos996_1","Rana temporaria","european common frogs","Palatinate Forest, SW Germany","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","21","n/a","starved","20 (Gosner Stage)","NO","n/a","YES","Emulsifiable concentrate","NO","YES",2021,"n/a"
134,"wos1565","copper sulfate",0.9,"LC50","0.12","0.12","CI_95",6,5,"at least 6 replicates, 5 per container","Captain",6.4,"LC50","n/a","n/a","n/a",6,5,"at least 6 replicates, 5 per container","probit","wos1565_a","wos1565_1","Pimephales promelas","fathead minnow","Aquatic Biosystems Inc","Teleostei ","Chordata","Animalia","Aquatic","adult",6,"algaecide","NO","n/a","environmental","acute","21","8.1","starved","1080","YES","132","YES","liquid formulation","YES","n/a",2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
144,"wos1565","copper sulfate",1,"LC50","n/a","n/a","n/a",6,5,"at least 6 replicates, 5 per container","Captain",0.84,"LC50","0.07","0.08","CI_95",6,5,"at least 6 replicates, 5 per container","probit","wos1565_f","wos1565_3","Salvelinus fontinalis","brook trout","New York State Rome Lab","Teleostei ","Chordata","Animalia","Aquatic","adult (small)",8,"algaecide","NO","n/a","environmental","acute","13","8.1","starved","n/a","YES","132","YES","liquid formulation","YES","n/a",2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
145,"wos1565","copper sulfate",1,"LC50","n/a","n/a","n/a",6,5,"at least 6 replicates, 5 per container","Captain XTR",1,"LC50","n/a","n/a","n/a",6,5,"at least 6 replicates, 5 per container","probit","wos1565_f","wos1565_4","Salvelinus fontinalis","brook trout","New York State Rome Lab","Teleostei ","Chordata","Animalia","Aquatic","adult (small)",8,"algaecide","NO","n/a","environmental","acute","13","8.1","starved","n/a","YES","132","YES","liquid formulation","YES","n/a",2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
163,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Barclay Gallup Biograde 360",450,"EC50","34.9009901","36.38613861","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_1","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
164,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Boom Efekt",450,"EC50","54","54","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_2","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
165,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Fozat 480",108,"EC50","0","18","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_3","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
166,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Gladiator 480 SL",108,"EC50","0","36","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_4","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
167,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Express 6H",3,"EC50","0.710526316","0.789473684","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_5","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","ready to use","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
168,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Kapazin",216,"EC50","0","17.75342466","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_6","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
169,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Classic",40.5,"EC50","13.47531993","0","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_7","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
170,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Total",54,"EC50","0","0","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_8","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
171,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Dominator Extra 608 SL",126,"EC50","5.547169811","6.339622642","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_9","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
172,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Star",72,"EC50","0","17.79591837","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_10","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
173,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Mega",67.5,"EC50","0","0","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_11","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
174,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glyfos Dakar",243,"EC50","0","0","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_12","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","granules","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
175,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Medallon Premium",72,"EC50","18","0","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_a","wos764_13","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",0.5,"herbicide","NO","n/a","environmental","acute","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. Some odd CIs in this set of 13. "
176,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Barclay Gallup Biograde 360",3.4,"EC50","3.233777778","67.16888889","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_14","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
177,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Boom Efekt",374,"EC50","185.1262525","367.254509","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_15","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
178,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Fozat 480",237,"EC50","185.9133333","864.4857143","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_16","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
179,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Gladiator 480 SL",282,"EC50","134.6419098","256.5676393","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_17","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
180,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Express 6H",2.97,"EC50","1.218461538","2.208461538","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_18","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","ready to use","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
181,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Kapazin",223,"EC50","157.661","541.89","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_19","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
182,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Classic",291,"EC50","92.55725191","136.9847328","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_20","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
183,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Total",32.6,"EC50","21.11590909","60.01363636","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_21","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
